Calendar Day,Group,Division,Business Unit,Gross Order $
06/17/2018,Hubbell Lighting,C & I,Columbia,4653197.09
06/17/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,857217.99
06/17/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,403802.03
06/17/2018,Hubbell Lighting,C & I,Industrial Lighting,329285.88
06/17/2018,Hubbell Lighting,C & I,Kim,1053656.86
06/17/2018,Hubbell Lighting,C & I,Kurt Versen,98209.31
06/17/2018,Hubbell Lighting,C & I,Life Safety,1751304.44
06/17/2018,Hubbell Lighting,C & I,Litecontrol,663648.93
06/17/2018,Hubbell Lighting,C & I,Outdoor,1580947.87
06/17/2018,Hubbell Lighting,C & I,Prescolite,1343715.37
06/17/2018,Hubbell Lighting,C & I,Security Lighting,465291.97
06/17/2018,Hubbell Lighting,Residential,Progress Lighting,5240204.5
06/17/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1667992.66
06/17/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,551693.99
06/17/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,1779988.7
06/17/2018,Power Systems,Civil & Construction,Civil & Construction,4647911.51
06/17/2018,Power Systems,Connectors,Connectors,5016636.82
06/17/2018,Power Systems,Enclosures,Enclosures,3759721.41
06/17/2018,Power Systems,HPS China,HPS China,111623.52
06/17/2018,Power Systems,Switching Fusing,Switching & Fusing,2519743.21
06/17/2018,Power Systems,Tools and Equipment,Tools and Equipment,1157609.71
06/17/2018,Power Systems,Total Bushings,Bushings,709440.87
06/17/2018,Power Systems,Utility Automation,Utility Automation,2332070.81
06/24/2018,Commercial & Industrial,ACME,ACME,1112865.94
06/24/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,591993.53
06/24/2018,Commercial & Industrial,Hipotronics,Hipotronics,482921.63
06/24/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1595957.61
06/24/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5672707.22
06/24/2018,Commercial & Industrial,WBP,Bryant Electric,479677.36
06/24/2018,Commercial & Industrial,WBP,Premise Wiring,1618291.2
06/24/2018,Commercial & Industrial,WBP,WDK,7797151.96
06/24/2018,Commercial & Industrial,Wiegmann,Wiegmann,977850.21
06/24/2018,Construction & Energy,Burndy - US,Burndy - US,5861237.15
06/24/2018,Construction & Energy,CMC,CMC,3171040.38
06/24/2018,Construction & Energy,Continental Industries,Continental Industries,319216.12
06/24/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,345607.63
06/24/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,537653.71
06/24/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
06/24/2018,Construction & Energy,Hawke - UK,Hawke - UK,456394.05
06/24/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,3067960.71
06/24/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,720464.03
06/24/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,1666277.99
06/24/2018,Construction & Energy,Killark,Killark,2134645.6
06/24/2018,Hubbell Lighting,C & I,AAL,855321.08
06/24/2018,Hubbell Lighting,C & I,Alera,67829.7
06/24/2018,Hubbell Lighting,C & I,Beacon,1535478.01
06/24/2018,Hubbell Lighting,C & I,Columbia,4722367.09
06/24/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,970766.62
06/24/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,753700.99
06/24/2018,Hubbell Lighting,C & I,Industrial Lighting,235355.92
06/24/2018,Hubbell Lighting,C & I,Kim,1070158.6
06/24/2018,Hubbell Lighting,C & I,Kurt Versen,73170.7
06/24/2018,Hubbell Lighting,C & I,Life Safety,1189538.09
06/24/2018,Hubbell Lighting,C & I,Litecontrol,829009.52
06/24/2018,Hubbell Lighting,C & I,Outdoor,1330880.68
06/24/2018,Hubbell Lighting,C & I,Prescolite,1155579.91
06/24/2018,Hubbell Lighting,C & I,Security Lighting,307425.24
06/24/2018,Hubbell Lighting,Residential,Progress Lighting,5448668.47
06/24/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1601706.31
06/24/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,546186.7
06/24/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,1505140.15
06/24/2018,Power Systems,Civil & Construction,Civil & Construction,3947788.06
06/24/2018,Power Systems,Connectors,Connectors,4574990.05
06/24/2018,Power Systems,Enclosures,Enclosures,3824163.49
06/24/2018,Power Systems,HPS China,HPS China,155398.54
06/24/2018,Power Systems,Switching Fusing,Switching & Fusing,2584163.94
06/24/2018,Power Systems,Tools and Equipment,Tools and Equipment,1322913.01
06/24/2018,Power Systems,Total Bushings,Bushings,1009367.43
06/24/2018,Power Systems,Utility Automation,Utility Automation,693194.36
07/01/2018,Commercial & Industrial,ACME,ACME,851250.22
07/01/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,863012.15
07/01/2018,Commercial & Industrial,Hipotronics,Hipotronics,298620.3
07/01/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1443551.77
07/01/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,7088623.88
07/01/2018,Commercial & Industrial,WBP,Bryant Electric,305259.09
07/01/2018,Commercial & Industrial,WBP,Premise Wiring,2085092.19
07/01/2018,Commercial & Industrial,WBP,WDK,9820700.24
07/01/2018,Commercial & Industrial,Wiegmann,Wiegmann,1205337.36
07/01/2018,Construction & Energy,Burndy - US,Burndy - US,6801900.55
07/01/2018,Construction & Energy,CMC,CMC,1264395.8
07/01/2018,Construction & Energy,Continental Industries,Continental Industries,1442302.03
07/01/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,291420.24
07/01/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1302512.12
07/01/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
07/01/2018,Construction & Energy,Hawke - UK,Hawke - UK,549412.22
07/01/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,3067143.56
07/01/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,1203495.29
07/01/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,847889.02
07/01/2018,Construction & Energy,Killark,Killark,1749172.05
07/01/2018,Hubbell Lighting,C & I,AAL,765478.06
07/01/2018,Hubbell Lighting,C & I,Alera,115998.28
07/01/2018,Hubbell Lighting,C & I,Beacon,1593054.16
07/01/2018,Hubbell Lighting,C & I,Columbia,8912010.47
07/01/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,794291.87
07/01/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,593833.74
07/01/2018,Hubbell Lighting,C & I,Industrial Lighting,363482.01
07/01/2018,Hubbell Lighting,C & I,Kim,831913.24
07/01/2018,Hubbell Lighting,C & I,Kurt Versen,92986.06
07/01/2018,Hubbell Lighting,C & I,Life Safety,1362321.2
07/01/2018,Hubbell Lighting,C & I,Litecontrol,1000125.29
07/01/2018,Hubbell Lighting,C & I,Outdoor,1180335.99
07/01/2018,Hubbell Lighting,C & I,Prescolite,1339459.64
07/01/2018,Hubbell Lighting,C & I,Security Lighting,315278.56
07/01/2018,Hubbell Lighting,Residential,Progress Lighting,6490118.11
07/01/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,2081321.67
07/01/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,542775.59
07/01/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,744894.3
07/01/2018,Power Systems,Civil & Construction,Civil & Construction,4253558.82
07/01/2018,Power Systems,Connectors,Connectors,3806981.09
07/01/2018,Power Systems,Enclosures,Enclosures,3660722.88
07/01/2018,Power Systems,HPS China,HPS China,937586.47
07/01/2018,Power Systems,Switching Fusing,Switching & Fusing,2777079.64
07/01/2018,Power Systems,Tools and Equipment,Tools and Equipment,3186043.08
07/01/2018,Power Systems,Total Bushings,Bushings,1678088.5
07/01/2018,Power Systems,Utility Automation,Utility Automation,1125563.01
07/08/2018,Commercial & Industrial,ACME,ACME,684990.43
07/08/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,213060.6
07/08/2018,Commercial & Industrial,Hipotronics,Hipotronics,83006.32
07/08/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1026658.68
07/08/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4930596.07
07/08/2018,Commercial & Industrial,WBP,Bryant Electric,165219.17
07/08/2018,Commercial & Industrial,WBP,Premise Wiring,942221.91
07/08/2018,Commercial & Industrial,WBP,WDK,6494918.74
07/08/2018,Commercial & Industrial,Wiegmann,Wiegmann,828368.79
07/08/2018,Construction & Energy,Burndy - US,Burndy - US,4965370.77
07/08/2018,Construction & Energy,CMC,CMC,1252085.59
07/08/2018,Construction & Energy,Continental Industries,Continental Industries,901843.14
07/08/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,327841.44
07/08/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,601920.32
07/08/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
07/08/2018,Construction & Energy,Hawke - UK,Hawke - UK,458341.2
07/08/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2040905.26
07/08/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,304631.29
07/08/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,649655.08
07/08/2018,Construction & Energy,Killark,Killark,1233603
07/08/2018,Hubbell Lighting,C & I,AAL,423952.22
07/08/2018,Hubbell Lighting,C & I,Alera,65623.16
07/08/2018,Hubbell Lighting,C & I,Beacon,836111.66
07/08/2018,Hubbell Lighting,C & I,Columbia,4935825.36
07/08/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,846322.12
07/08/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,373108.61
07/08/2018,Hubbell Lighting,C & I,Industrial Lighting,566389.04
07/08/2018,Hubbell Lighting,C & I,Kim,615886.76
07/08/2018,Hubbell Lighting,C & I,Kurt Versen,27383.86
07/08/2018,Hubbell Lighting,C & I,Life Safety,780079.05
07/08/2018,Hubbell Lighting,C & I,Litecontrol,1253012.2
07/08/2018,Hubbell Lighting,C & I,Outdoor,1149324.47
07/08/2018,Hubbell Lighting,C & I,Prescolite,1023480.26
07/08/2018,Hubbell Lighting,C & I,Security Lighting,222566.06
07/08/2018,Hubbell Lighting,Residential,Progress Lighting,5470762.69
07/08/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1178640.11
07/08/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,480074.53
07/08/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,905963.91
07/08/2018,Power Systems,Civil & Construction,Civil & Construction,3007015.1
07/08/2018,Power Systems,Connectors,Connectors,3081571.41
07/08/2018,Power Systems,Enclosures,Enclosures,2606347.69
07/08/2018,Power Systems,HPS China,HPS China,270762.35
07/08/2018,Power Systems,Switching Fusing,Switching & Fusing,2726775.62
07/08/2018,Power Systems,Tools and Equipment,Tools and Equipment,762425.1
07/08/2018,Power Systems,Total Bushings,Bushings,623151.01
07/08/2018,Power Systems,Utility Automation,Utility Automation,561914.35
07/15/2018,Commercial & Industrial,ACME,ACME,2383400.28
07/15/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,711476.58
07/15/2018,Commercial & Industrial,Hipotronics,Hipotronics,81516.26
07/15/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1339233.46
07/15/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4959966.61
07/15/2018,Commercial & Industrial,WBP,Bryant Electric,363696.69
07/15/2018,Commercial & Industrial,WBP,Premise Wiring,1582090.43
07/15/2018,Commercial & Industrial,WBP,WDK,8863758.35
07/15/2018,Commercial & Industrial,Wiegmann,Wiegmann,1125576.49
07/15/2018,Construction & Energy,Burndy - US,Burndy - US,5839227.33
07/15/2018,Construction & Energy,CMC,CMC,1720343.74
07/15/2018,Construction & Energy,Continental Industries,Continental Industries,1344586.36
07/15/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,216596.64
07/15/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,963602.25
07/15/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
07/15/2018,Construction & Energy,Hawke - UK,Hawke - UK,339485.06
07/15/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,3561803.67
07/15/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,366243.96
07/15/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,499770.97
07/15/2018,Construction & Energy,Killark,Killark,2246122.61
07/15/2018,Hubbell Lighting,C & I,AAL,389177.43
07/15/2018,Hubbell Lighting,C & I,Alera,111816.57
07/15/2018,Hubbell Lighting,C & I,Beacon,1631929.98
07/15/2018,Hubbell Lighting,C & I,Columbia,3157748.98
07/15/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,507429.33
07/15/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,550232.64
07/15/2018,Hubbell Lighting,C & I,Industrial Lighting,276667.83
07/15/2018,Hubbell Lighting,C & I,Kim,715339.57
07/15/2018,Hubbell Lighting,C & I,Kurt Versen,79188.09
07/15/2018,Hubbell Lighting,C & I,Life Safety,1463047.59
07/15/2018,Hubbell Lighting,C & I,Litecontrol,563404.69
07/15/2018,Hubbell Lighting,C & I,Outdoor,1378547.9
07/15/2018,Hubbell Lighting,C & I,Prescolite,1304058.77
07/15/2018,Hubbell Lighting,C & I,Security Lighting,380142.29
07/15/2018,Hubbell Lighting,Residential,Progress Lighting,5479200.42
07/15/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1555578.31
07/15/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,861538.69
07/15/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,1007939.12
07/15/2018,Power Systems,Civil & Construction,Civil & Construction,4628931.72
07/15/2018,Power Systems,Connectors,Connectors,3162026.01
07/15/2018,Power Systems,Enclosures,Enclosures,3129808.89
07/15/2018,Power Systems,HPS China,HPS China,180426.42
07/15/2018,Power Systems,Switching Fusing,Switching & Fusing,2907472.31
07/15/2018,Power Systems,Tools and Equipment,Tools and Equipment,939871.87
07/15/2018,Power Systems,Total Bushings,Bushings,1127220.58
07/15/2018,Power Systems,Utility Automation,Utility Automation,1055577.17
07/22/2018,Commercial & Industrial,ACME,ACME,1177069.3
07/22/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,711737.45
07/22/2018,Commercial & Industrial,Hipotronics,Hipotronics,255112.8
07/22/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1570149.78
07/22/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4708079.17
07/22/2018,Commercial & Industrial,WBP,Bryant Electric,348965.95
07/22/2018,Commercial & Industrial,WBP,Premise Wiring,1672915.28
07/22/2018,Commercial & Industrial,WBP,WDK,7814331.8
07/22/2018,Commercial & Industrial,Wiegmann,Wiegmann,926410.71
07/22/2018,Construction & Energy,Burndy - US,Burndy - US,6148575.3
07/22/2018,Construction & Energy,CMC,CMC,1552891.53
07/22/2018,Construction & Energy,Continental Industries,Continental Industries,1262377.19
07/22/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,407369.07
07/22/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,780330.97
07/22/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
07/22/2018,Construction & Energy,Hawke - UK,Hawke - UK,229611.44
07/22/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,3179804.74
07/22/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,695339.08
07/22/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,663869.03
07/22/2018,Construction & Energy,Killark,Killark,1603617.8
07/22/2018,Hubbell Lighting,C & I,AAL,488999.16
07/22/2018,Hubbell Lighting,C & I,Alera,104607.77
07/22/2018,Hubbell Lighting,C & I,Beacon,1338406.82
07/22/2018,Hubbell Lighting,C & I,Columbia,3659299.08
07/22/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,987772.2
07/22/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,430842.06
07/22/2018,Hubbell Lighting,C & I,Industrial Lighting,314732.95
07/22/2018,Hubbell Lighting,C & I,Kim,1129624.08
07/22/2018,Hubbell Lighting,C & I,Kurt Versen,69596.8
07/22/2018,Hubbell Lighting,C & I,Life Safety,1225280.87
07/22/2018,Hubbell Lighting,C & I,Litecontrol,855826.38
07/22/2018,Hubbell Lighting,C & I,Outdoor,1333499.71
07/22/2018,Hubbell Lighting,C & I,Prescolite,1062812.09
07/22/2018,Hubbell Lighting,C & I,Security Lighting,254981.55
07/22/2018,Hubbell Lighting,Residential,Progress Lighting,5377482.97
07/22/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1738659.17
07/22/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,498088.21
07/22/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,1454733.54
07/22/2018,Power Systems,Civil & Construction,Civil & Construction,4542731.71
07/22/2018,Power Systems,Connectors,Connectors,3867366.04
07/22/2018,Power Systems,Enclosures,Enclosures,5434027.38
07/22/2018,Power Systems,HPS China,HPS China,543900.83
07/22/2018,Power Systems,Switching Fusing,Switching & Fusing,2752536.71
07/22/2018,Power Systems,Tools and Equipment,Tools and Equipment,964748.4
07/22/2018,Power Systems,Total Bushings,Bushings,1165771.21
07/22/2018,Power Systems,Utility Automation,Utility Automation,1233346.03
07/29/2018,Commercial & Industrial,ACME,ACME,1038768.62
07/29/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,604267.98
07/29/2018,Commercial & Industrial,Hipotronics,Hipotronics,102208.04
07/29/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1001809.17
07/29/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4956652.26
07/29/2018,Commercial & Industrial,WBP,Bryant Electric,211567.08
07/29/2018,Commercial & Industrial,WBP,Premise Wiring,1365499.08
07/29/2018,Commercial & Industrial,WBP,WDK,8830037.48
07/29/2018,Commercial & Industrial,Wiegmann,Wiegmann,1037746.48
07/29/2018,Construction & Energy,Burndy - US,Burndy - US,6227327.77
07/29/2018,Construction & Energy,CMC,CMC,847321.69
07/29/2018,Construction & Energy,Continental Industries,Continental Industries,1443129.79
07/29/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,470047.43
07/29/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,886247.39
07/29/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
07/29/2018,Construction & Energy,Hawke - UK,Hawke - UK,174827.65
07/29/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2341722.31
07/29/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,460954.39
07/29/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,547492.05
07/29/2018,Construction & Energy,Killark,Killark,1851849.17
07/29/2018,Hubbell Lighting,C & I,AAL,374157.16
07/29/2018,Hubbell Lighting,C & I,Alera,130415.36
07/29/2018,Hubbell Lighting,C & I,Beacon,1641580.27
07/29/2018,Hubbell Lighting,C & I,Columbia,5526896.55
07/29/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,1090169.8
07/29/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,383942.65
07/29/2018,Hubbell Lighting,C & I,Industrial Lighting,364089.76
07/29/2018,Hubbell Lighting,C & I,Kim,1280662.91
07/29/2018,Hubbell Lighting,C & I,Kurt Versen,101636.84
07/29/2018,Hubbell Lighting,C & I,Life Safety,1649984.44
07/29/2018,Hubbell Lighting,C & I,Litecontrol,834004.2
07/29/2018,Hubbell Lighting,C & I,Outdoor,1774433.47
07/29/2018,Hubbell Lighting,C & I,Prescolite,1432964.81
07/29/2018,Hubbell Lighting,C & I,Security Lighting,424280.61
07/29/2018,Hubbell Lighting,Residential,Progress Lighting,5423124.08
07/29/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,2115702.25
07/29/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,787928.89
07/29/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,951877.83
07/29/2018,Power Systems,Civil & Construction,Civil & Construction,3796949.01
07/29/2018,Power Systems,Connectors,Connectors,3294519.86
07/29/2018,Power Systems,Enclosures,Enclosures,3284092.91
07/29/2018,Power Systems,HPS China,HPS China,203120.75
07/29/2018,Power Systems,Switching Fusing,Switching & Fusing,2732362.94
07/29/2018,Power Systems,Tools and Equipment,Tools and Equipment,1128126.79
07/29/2018,Power Systems,Total Bushings,Bushings,1250465.64
07/29/2018,Power Systems,Utility Automation,Utility Automation,945225.11
08/05/2018,Commercial & Industrial,ACME,ACME,1300146.82
08/05/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,861764.23
08/05/2018,Commercial & Industrial,Hipotronics,Hipotronics,288725.47
08/05/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1711158.92
08/05/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,5435863.03
08/05/2018,Commercial & Industrial,WBP,Bryant Electric,260038.06
08/05/2018,Commercial & Industrial,WBP,Premise Wiring,1488028.81
08/05/2018,Commercial & Industrial,WBP,WDK,9194995.21
08/05/2018,Commercial & Industrial,Wiegmann,Wiegmann,1081669.08
08/05/2018,Construction & Energy,Burndy - US,Burndy - US,6173267.24
08/05/2018,Construction & Energy,CMC,CMC,1704747.77
08/05/2018,Construction & Energy,Continental Industries,Continental Industries,1635588.7
08/05/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,280575.58
08/05/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1191239.96
08/05/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
08/05/2018,Construction & Energy,Hawke - UK,Hawke - UK,275750.73
08/05/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2361998.23
08/05/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,1316211.42
08/05/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,396704.11
08/05/2018,Construction & Energy,Killark,Killark,1878751.31
08/05/2018,Hubbell Lighting,C & I,AAL,726313.7
08/05/2018,Hubbell Lighting,C & I,Alera,160210.43
08/05/2018,Hubbell Lighting,C & I,Beacon,1620439.22
08/05/2018,Hubbell Lighting,C & I,Columbia,3812733.95
08/05/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,769075.8
08/05/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,639686.2
08/05/2018,Hubbell Lighting,C & I,Industrial Lighting,269485.91
08/05/2018,Hubbell Lighting,C & I,Kim,1209778.82
08/05/2018,Hubbell Lighting,C & I,Kurt Versen,21176
08/05/2018,Hubbell Lighting,C & I,Life Safety,1390582.1
08/05/2018,Hubbell Lighting,C & I,Litecontrol,844631.35
08/05/2018,Hubbell Lighting,C & I,Outdoor,1484035.71
08/05/2018,Hubbell Lighting,C & I,Prescolite,1251204.17
08/05/2018,Hubbell Lighting,C & I,Security Lighting,593436.14
08/05/2018,Hubbell Lighting,Residential,Progress Lighting,5585360.68
08/05/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1839690.92
08/05/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,452698.99
08/05/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,1342801.79
08/05/2018,Power Systems,Civil & Construction,Civil & Construction,4240572.37
08/05/2018,Power Systems,Connectors,Connectors,4710083.71
08/05/2018,Power Systems,Enclosures,Enclosures,4262558.87
08/05/2018,Power Systems,HPS China,HPS China,232635.46
08/05/2018,Power Systems,Switching Fusing,Switching & Fusing,2783768.5
08/05/2018,Power Systems,Tools and Equipment,Tools and Equipment,1653770.79
08/05/2018,Power Systems,Total Bushings,Bushings,788266.98
08/05/2018,Power Systems,Utility Automation,Utility Automation,773421.97
08/12/2018,Commercial & Industrial,ACME,ACME,1563919.36
08/12/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,554767.99
08/12/2018,Commercial & Industrial,Hipotronics,Hipotronics,216306.26
08/12/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1185120.21
08/12/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4750165.17
08/12/2018,Commercial & Industrial,WBP,Bryant Electric,279421.22
08/12/2018,Commercial & Industrial,WBP,Premise Wiring,1385676.36
08/12/2018,Commercial & Industrial,WBP,WDK,8409549.76
08/12/2018,Commercial & Industrial,Wiegmann,Wiegmann,1086109.24
08/12/2018,Construction & Energy,Burndy - US,Burndy - US,5868175.64
08/12/2018,Construction & Energy,CMC,CMC,1381307.37
08/12/2018,Construction & Energy,Continental Industries,Continental Industries,1036932.6
08/12/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,440645.52
08/12/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,836557.02
08/12/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,0
08/12/2018,Construction & Energy,Hawke - UK,Hawke - UK,344515.85
08/12/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2039471.97
08/12/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,466457.18
08/12/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,508182.58
08/12/2018,Construction & Energy,Killark,Killark,2016002.3
08/12/2018,Hubbell Lighting,C & I,AAL,327671.39
08/12/2018,Hubbell Lighting,C & I,Alera,91387.45
08/12/2018,Hubbell Lighting,C & I,Beacon,1079929.28
08/12/2018,Hubbell Lighting,C & I,Columbia,3370694.62
08/12/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,671191.68
08/12/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,643046.2
08/12/2018,Hubbell Lighting,C & I,Industrial Lighting,245096.98
08/12/2018,Hubbell Lighting,C & I,Kim,1112020.57
08/12/2018,Hubbell Lighting,C & I,Kurt Versen,61564.5
08/12/2018,Hubbell Lighting,C & I,Life Safety,1610397.08
08/12/2018,Hubbell Lighting,C & I,Litecontrol,602000.96
08/12/2018,Hubbell Lighting,C & I,Outdoor,1645804.02
08/12/2018,Hubbell Lighting,C & I,Prescolite,1202638.12
08/12/2018,Hubbell Lighting,C & I,Security Lighting,816751.63
08/12/2018,Hubbell Lighting,Residential,Progress Lighting,6699713.91
08/12/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1134687.86
08/12/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,787698.57
08/12/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,932662.38
08/12/2018,Power Systems,Civil & Construction,Civil & Construction,5033856.41
08/12/2018,Power Systems,Connectors,Connectors,4433478.24
08/12/2018,Power Systems,Enclosures,Enclosures,3908056.97
08/12/2018,Power Systems,HPS China,HPS China,522476.35
08/12/2018,Power Systems,Switching Fusing,Switching & Fusing,2377653.65
08/12/2018,Power Systems,Tools and Equipment,Tools and Equipment,1694243.15
08/12/2018,Power Systems,Total Bushings,Bushings,625924.95
08/12/2018,Power Systems,Utility Automation,Utility Automation,661618.95
08/19/2018,Commercial & Industrial,ACME,ACME,891332.77
08/19/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,699474.41
08/19/2018,Commercial & Industrial,Hipotronics,Hipotronics,113217.49
08/19/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,813728.77
08/19/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4855226.38
08/19/2018,Commercial & Industrial,WBP,Bryant Electric,289027.63
08/19/2018,Commercial & Industrial,WBP,Premise Wiring,1051356.05
