Calendar Day,Group,Division,Business Unit,Gross Order $
01/14/2018,Hubbell Lighting,Residential,Progress Lighting,3869975.36
01/14/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1463343.11
01/14/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,332345.33
01/14/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,946149.33
01/14/2018,Power Systems,Civil & Construction,Civil & Construction,3191853.73
01/14/2018,Power Systems,Connectors,Connectors,2953646.86
01/14/2018,Power Systems,Enclosures,Enclosures,2672243.47
01/14/2018,Power Systems,HPS China,HPS China,302068.43
01/14/2018,Power Systems,Switching Fusing,Switching & Fusing,2563918
01/14/2018,Power Systems,Tools and Equipment,Tools and Equipment,1116097.28
01/14/2018,Power Systems,Total Bushings,Bushings,700488.97
01/14/2018,Power Systems,Utility Automation,Utility Automation,952550.3
01/21/2018,Commercial & Industrial,ACME,ACME,1040824.71
01/21/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,598602.42
01/21/2018,Commercial & Industrial,Hipotronics,Hipotronics,312403.79
01/21/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1410036.9
01/21/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,3644859.25
01/21/2018,Commercial & Industrial,WBP,Bryant Electric,348422.86
01/21/2018,Commercial & Industrial,WBP,Premise Wiring,881988
01/21/2018,Commercial & Industrial,WBP,WDK,7866950.55
01/21/2018,Commercial & Industrial,Wiegmann,Wiegmann,925832.96
01/21/2018,Construction & Energy,Burndy - US,Burndy - US,5035746.62
01/21/2018,Construction & Energy,CMC,CMC,1055067.48
01/21/2018,Construction & Energy,Continental Industries,Continental Industries,0
01/21/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,430926.89
01/21/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,564923.03
01/21/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,-155360.2
01/21/2018,Construction & Energy,Hawke - UK,Hawke - UK,273741.8
01/21/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2570105.95
01/21/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,546789.38
01/21/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,742480.12
01/21/2018,Construction & Energy,Killark,Killark,1795856.79
01/21/2018,Hubbell Lighting,C & I,AAL,412317.78
01/21/2018,Hubbell Lighting,C & I,Alera,163793.96
01/21/2018,Hubbell Lighting,C & I,Beacon,779884.77
01/21/2018,Hubbell Lighting,C & I,Columbia,3228482.47
01/21/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,746977.53
01/21/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,405242.36
01/21/2018,Hubbell Lighting,C & I,Industrial Lighting,259855.52
01/21/2018,Hubbell Lighting,C & I,Kim,695671.28
01/21/2018,Hubbell Lighting,C & I,Kurt Versen,30364.34
01/21/2018,Hubbell Lighting,C & I,Life Safety,1424238.37
01/21/2018,Hubbell Lighting,C & I,Litecontrol,758971
01/21/2018,Hubbell Lighting,C & I,Outdoor,1009498.86
01/21/2018,Hubbell Lighting,C & I,Prescolite,1316891.85
01/21/2018,Hubbell Lighting,C & I,Security Lighting,277590.68
01/21/2018,Hubbell Lighting,Residential,Progress Lighting,4074053.63
01/21/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1315106.88
01/21/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,331068.29
01/21/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,992709.51
01/21/2018,Power Systems,Civil & Construction,Civil & Construction,3671093.12
01/21/2018,Power Systems,Connectors,Connectors,3808707.42
01/21/2018,Power Systems,Enclosures,Enclosures,2459473.51
01/21/2018,Power Systems,HPS China,HPS China,26430.79
01/21/2018,Power Systems,Switching Fusing,Switching & Fusing,2324589.38
01/21/2018,Power Systems,Tools and Equipment,Tools and Equipment,1663879.99
01/21/2018,Power Systems,Total Bushings,Bushings,1311988.36
01/21/2018,Power Systems,Utility Automation,Utility Automation,879756.4
01/28/2018,Commercial & Industrial,ACME,ACME,759087.32
01/28/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,704876.98
01/28/2018,Commercial & Industrial,Hipotronics,Hipotronics,85454.18
01/28/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1363518.98
01/28/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4056958.23
01/28/2018,Commercial & Industrial,WBP,Bryant Electric,440700.2
01/28/2018,Commercial & Industrial,WBP,Premise Wiring,1040727.32
01/28/2018,Commercial & Industrial,WBP,WDK,8049330.32
01/28/2018,Commercial & Industrial,Wiegmann,Wiegmann,1012680.86
01/28/2018,Construction & Energy,Burndy - US,Burndy - US,5327330.09
01/28/2018,Construction & Energy,CMC,CMC,891275.04
01/28/2018,Construction & Energy,Continental Industries,Continental Industries,0
01/28/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,366834.62
01/28/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1350574.37
01/28/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,-183033.6
01/28/2018,Construction & Energy,Hawke - UK,Hawke - UK,612325.11
01/28/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,3060319.39
01/28/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,610519.18
01/28/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,512244.63
01/28/2018,Construction & Energy,Killark,Killark,1668741.47
01/28/2018,Hubbell Lighting,C & I,AAL,428541.73
01/28/2018,Hubbell Lighting,C & I,Alera,140179.4
01/28/2018,Hubbell Lighting,C & I,Beacon,1229411.23
01/28/2018,Hubbell Lighting,C & I,Columbia,3958675.48
01/28/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,704594.93
01/28/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,882936.91
01/28/2018,Hubbell Lighting,C & I,Industrial Lighting,428013.51
01/28/2018,Hubbell Lighting,C & I,Kim,856003
01/28/2018,Hubbell Lighting,C & I,Kurt Versen,237648.03
01/28/2018,Hubbell Lighting,C & I,Life Safety,1356246.7
01/28/2018,Hubbell Lighting,C & I,Litecontrol,724098.93
01/28/2018,Hubbell Lighting,C & I,Outdoor,1254354.64
01/28/2018,Hubbell Lighting,C & I,Prescolite,923987.38
01/28/2018,Hubbell Lighting,C & I,Security Lighting,214811.24
01/28/2018,Hubbell Lighting,Residential,Progress Lighting,4723574.16
01/28/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,957479.17
01/28/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,327991.81
01/28/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,746278.43
01/28/2018,Power Systems,Civil & Construction,Civil & Construction,3060934.98
01/28/2018,Power Systems,Connectors,Connectors,2972732.41
01/28/2018,Power Systems,Enclosures,Enclosures,2631195.03
01/28/2018,Power Systems,HPS China,HPS China,341340.55
01/28/2018,Power Systems,Switching Fusing,Switching & Fusing,2222230.22
01/28/2018,Power Systems,Tools and Equipment,Tools and Equipment,1079312.77
01/28/2018,Power Systems,Total Bushings,Bushings,1558985.28
01/28/2018,Power Systems,Utility Automation,Utility Automation,499107.27
02/04/2018,Commercial & Industrial,ACME,ACME,921245.36
02/04/2018,Commercial & Industrial,Gleason Reel,Gleason Reel,647123.42
02/04/2018,Commercial & Industrial,Hipotronics,Hipotronics,223916.41
02/04/2018,Commercial & Industrial,Industrial Controls,Industrial Controls,1251772.57
02/04/2018,Commercial & Industrial,Raco/TayMac,Raco/TayMac,4309551.46
02/04/2018,Commercial & Industrial,WBP,Bryant Electric,299599.3
02/04/2018,Commercial & Industrial,WBP,Premise Wiring,1397415.78
02/04/2018,Commercial & Industrial,WBP,WDK,8165036.25
02/04/2018,Commercial & Industrial,Wiegmann,Wiegmann,950684.14
02/04/2018,Construction & Energy,Burndy - US,Burndy - US,5313522.27
02/04/2018,Construction & Energy,CMC,CMC,1555571.08
02/04/2018,Construction & Energy,Continental Industries,Continental Industries,0
02/04/2018,Construction & Energy,GAI-Tronics - UK,Gai-Tronics - UK,851629.63
02/04/2018,Construction & Energy,GAI-Tronics - US,GAI-Tronics - US,1315523.97
02/04/2018,Construction & Energy,Gai-Tronics - Italy,Gai-Tronics - Italy,48775.45
02/04/2018,Construction & Energy,Hawke - UK,Hawke - UK,242038.02
02/04/2018,Construction & Energy,Hubbell Canada,Hubbell Canada,2423320.58
02/04/2018,Construction & Energy,Hubbell Products Mexico,Hubbell Products Mexico,879612.34
02/04/2018,Construction & Energy,Hubbell Scotland,Hubbell Scotland,643523.78
02/04/2018,Construction & Energy,Killark,Killark,1528745.53
02/04/2018,Hubbell Lighting,C & I,AAL,510354.21
02/04/2018,Hubbell Lighting,C & I,Alera,142026.25
02/04/2018,Hubbell Lighting,C & I,Beacon,1269586.18
02/04/2018,Hubbell Lighting,C & I,Columbia,6662055.35
02/04/2018,Hubbell Lighting,C & I,Hubbell Control Solutions,651549.37
02/04/2018,Hubbell Lighting,C & I,Hubbell Lighting Components,567636.44
02/04/2018,Hubbell Lighting,C & I,Industrial Lighting,329446.76
02/04/2018,Hubbell Lighting,C & I,Kim,557741.07
02/04/2018,Hubbell Lighting,C & I,Kurt Versen,77310
02/04/2018,Hubbell Lighting,C & I,Life Safety,1255626.83
02/04/2018,Hubbell Lighting,C & I,Litecontrol,592532.3
02/04/2018,Hubbell Lighting,C & I,Outdoor,1498637.87
02/04/2018,Hubbell Lighting,C & I,Prescolite,1617195.11
02/04/2018,Hubbell Lighting,C & I,Security Lighting,233508.44
02/04/2018,Hubbell Lighting,Residential,Progress Lighting,6949729.77
02/04/2018,Power Systems,Aiken - Arresters,Aiken - Arresters,1359847.65
02/04/2018,Power Systems,Aiken - Cable Acc,Aiken - Cable Acc,609591.82
02/04/2018,Power Systems,Aiken - Insulator,Aiken - Insulator,828551.51
02/04/2018,Power Systems,Civil & Construction,Civil & Construction,3954440.73
02/04/2018,Power Systems,Connectors,Connectors,3698638.25
02/04/2018,Power Systems,Enclosures,Enclosures,4003520.69
02/04/2018,Power Systems,HPS China,HPS China,24552.05
