Work Day,Group,Division,Actual $
02/16/2018,Construction & Energy,CMC,316883
02/16/2018,Construction & Energy,Continental Industries,295000
02/16/2018,Construction & Energy,GAI-Tronics - UK,136274
02/16/2018,Construction & Energy,GAI-Tronics - US,223582
02/16/2018,Construction & Energy,Hawke - UK,28697
02/16/2018,Construction & Energy,Hubbell Canada,443075
02/16/2018,Construction & Energy,Hubbell Products Mexico,358350
02/16/2018,Construction & Energy,Hubbell Scotland,102757
02/16/2018,Construction & Energy,Killark,299002
02/16/2018,Construction & Energy,Lyall,126000
02/16/2018,Hubbell Lighting,C & I,2198928
02/16/2018,Hubbell Lighting,Residential,587834
02/16/2018,Integrated Solutions,Integrated Solutions,1971
02/16/2018,Power Systems,Aiken - Arresters,310062
02/16/2018,Power Systems,Aiken - Cable Acc,59313
02/16/2018,Power Systems,Aiken - Insulator,544528
02/16/2018,Power Systems,Civil & Construction,1219422
02/16/2018,Power Systems,Connectors,741161
02/16/2018,Power Systems,EMC,132896
02/16/2018,Power Systems,Enclosures,415650
02/16/2018,Power Systems,HPS Brazil,85000
02/16/2018,Power Systems,Switching Fusing,419733
02/16/2018,Power Systems,Tools and Equipment,274809
02/16/2018,Power Systems,Total Bushings,399765
02/16/2018,Power Systems,Utility Automation,439528
02/16/2018,Power Systems - Aclara,AMI,1218555
02/16/2018,Power Systems - Aclara,Meters,1726370
02/19/2018,Commercial & Industrial,ACME,141958
02/19/2018,Commercial & Industrial,Gleason Reel,53382
02/19/2018,Commercial & Industrial,Haefely,19924
02/19/2018,Commercial & Industrial,Hipotronics,48894
02/19/2018,Commercial & Industrial,Industrial Controls,194964
02/19/2018,Commercial & Industrial,Raco/TayMac,1401798
02/19/2018,Commercial & Industrial,WBP,1424437
02/19/2018,Commercial & Industrial,Wiegmann,161151
02/19/2018,Construction & Energy,Austdac,169467
02/19/2018,Construction & Energy,Burndy - US,619504
02/19/2018,Construction & Energy,CMC,184892
02/19/2018,Construction & Energy,Continental Industries,263000
02/19/2018,Construction & Energy,GAI-Tronics - UK,33808
02/19/2018,Construction & Energy,GAI-Tronics - US,89122
02/19/2018,Construction & Energy,Hawke - UK,179120
02/19/2018,Construction & Energy,Hubbell Canada,237296
02/19/2018,Construction & Energy,Hubbell Products Mexico,188624
02/19/2018,Construction & Energy,Hubbell Scotland,569227
02/19/2018,Construction & Energy,Killark,255414
02/19/2018,Construction & Energy,Lyall,271000
02/19/2018,Hubbell Lighting,C & I,2659520
02/19/2018,Hubbell Lighting,Residential,1277400
02/19/2018,Integrated Solutions,Integrated Solutions,5612
02/19/2018,Power Systems,Aiken - Arresters,158912
02/19/2018,Power Systems,Aiken - Cable Acc,32020
02/19/2018,Power Systems,Aiken - Insulator,141714
02/19/2018,Power Systems,Civil & Construction,627221
02/19/2018,Power Systems,Connectors,313382
02/19/2018,Power Systems,EMC,146047
02/19/2018,Power Systems,Enclosures,552930
02/19/2018,Power Systems,HPS Brazil,12000
02/19/2018,Power Systems,Switching Fusing,482715
02/19/2018,Power Systems,Tools and Equipment,142708
02/19/2018,Power Systems,Total Bushings,225661
02/19/2018,Power Systems,Utility Automation,149973
02/19/2018,Power Systems - Aclara,AMI,921852
02/19/2018,Power Systems - Aclara,Meters,381489
02/20/2018,Commercial & Industrial,ACME,113714
02/20/2018,Commercial & Industrial,Gleason Reel,86720
02/20/2018,Commercial & Industrial,Haefely,43625
02/20/2018,Commercial & Industrial,Hipotronics,92820
02/20/2018,Commercial & Industrial,Industrial Controls,266338
02/20/2018,Commercial & Industrial,Raco/TayMac,691099
02/20/2018,Commercial & Industrial,WBP,1648033
02/20/2018,Commercial & Industrial,Wiegmann,276471
02/20/2018,Construction & Energy,Austdac,37471
02/20/2018,Construction & Energy,Burndy - US,908416
02/20/2018,Construction & Energy,CMC,224577
02/20/2018,Construction & Energy,Continental Industries,450000
02/20/2018,Construction & Energy,GAI-Tronics - UK,110994
02/20/2018,Construction & Energy,GAI-Tronics - US,126412
02/20/2018,Construction & Energy,Hawke - UK,78018
02/20/2018,Construction & Energy,Hubbell Canada,357258
02/20/2018,Construction & Energy,Hubbell Products Mexico,283859
02/20/2018,Construction & Energy,Hubbell Scotland,6000
02/20/2018,Construction & Energy,Killark,358791
02/20/2018,Construction & Energy,Lyall,155000
02/20/2018,Hubbell Lighting,C & I,2841368
02/20/2018,Hubbell Lighting,Residential,1402507
02/20/2018,Integrated Solutions,Integrated Solutions,17338
02/20/2018,Power Systems,Aiken - Arresters,220103
02/20/2018,Power Systems,Aiken - Cable Acc,33434
02/20/2018,Power Systems,Aiken - Insulator,268223
02/20/2018,Power Systems,Civil & Construction,883722
02/20/2018,Power Systems,Connectors,1022557
02/20/2018,Power Systems,EMC,131422
02/20/2018,Power Systems,Enclosures,591076
02/20/2018,Power Systems,HPS Brazil,291000
02/20/2018,Power Systems,Switching Fusing,388763
02/20/2018,Power Systems,Tools and Equipment,322496
02/20/2018,Power Systems,Total Bushings,347189
02/20/2018,Power Systems,Utility Automation,69124
02/20/2018,Power Systems - Aclara,AMI,556116
02/20/2018,Power Systems - Aclara,Meters,5134676
02/21/2018,Commercial & Industrial,ACME,109081
02/21/2018,Commercial & Industrial,Gleason Reel,130047
02/21/2018,Commercial & Industrial,Haefely,170511
02/21/2018,Commercial & Industrial,Hipotronics,32030
02/21/2018,Commercial & Industrial,Industrial Controls,533504
02/21/2018,Commercial & Industrial,Raco/TayMac,719918
02/21/2018,Commercial & Industrial,WBP,1832051
02/21/2018,Commercial & Industrial,Wiegmann,131218
02/21/2018,Construction & Energy,Austdac,62802
02/21/2018,Construction & Energy,Burndy - US,795804
02/21/2018,Construction & Energy,CMC,268455
02/21/2018,Construction & Energy,Continental Industries,493000
02/21/2018,Construction & Energy,GAI-Tronics - UK,186376
02/21/2018,Construction & Energy,GAI-Tronics - US,216561
02/21/2018,Construction & Energy,Hawke - UK,60309
02/21/2018,Construction & Energy,Hubbell Canada,545621
02/21/2018,Construction & Energy,Hubbell Products Mexico,-16171
02/21/2018,Construction & Energy,Hubbell Scotland,55789
02/21/2018,Construction & Energy,Killark,303705
02/21/2018,Construction & Energy,Lyall,581000
02/21/2018,Hubbell Lighting,C & I,2466117
02/21/2018,Hubbell Lighting,Residential,674600
02/21/2018,Integrated Solutions,Integrated Solutions,17813
02/21/2018,Power Systems,Aiken - Arresters,180014
02/21/2018,Power Systems,Aiken - Cable Acc,81142
02/21/2018,Power Systems,Aiken - Insulator,140502
02/21/2018,Power Systems,Civil & Construction,656329
02/21/2018,Power Systems,Connectors,234823
02/21/2018,Power Systems,EMC,34073
02/21/2018,Power Systems,Enclosures,979735
02/21/2018,Power Systems,HPS Brazil,139000
02/21/2018,Power Systems,Switching Fusing,361427
02/21/2018,Power Systems,Tools and Equipment,121447
02/21/2018,Power Systems,Total Bushings,261501
02/21/2018,Power Systems,Utility Automation,93593
02/21/2018,Power Systems - Aclara,AMI,1143129
02/21/2018,Power Systems - Aclara,Meters,-964109
02/22/2018,Commercial & Industrial,ACME,267348
02/22/2018,Commercial & Industrial,Gleason Reel,167075
02/22/2018,Commercial & Industrial,Haefely,4132
02/22/2018,Commercial & Industrial,Hipotronics,162166
02/22/2018,Commercial & Industrial,Industrial Controls,280789
02/22/2018,Commercial & Industrial,Raco/TayMac,388989
02/22/2018,Commercial & Industrial,WBP,1546263
02/22/2018,Commercial & Industrial,Wiegmann,295179
02/22/2018,Construction & Energy,Austdac,53982
02/22/2018,Construction & Energy,Burndy - US,779211
02/22/2018,Construction & Energy,CMC,829505
02/22/2018,Construction & Energy,Continental Industries,245000
02/22/2018,Construction & Energy,GAI-Tronics - UK,70988
02/22/2018,Construction & Energy,GAI-Tronics - US,271821
02/22/2018,Construction & Energy,Hawke - UK,18521
02/22/2018,Construction & Energy,Hubbell Canada,315924
02/22/2018,Construction & Energy,Hubbell Products Mexico,41252
02/22/2018,Construction & Energy,Hubbell Scotland,391629
02/22/2018,Construction & Energy,Killark,372068
02/22/2018,Construction & Energy,Lyall,498000
02/22/2018,Hubbell Lighting,C & I,1867643
02/22/2018,Hubbell Lighting,Residential,1112598
02/22/2018,Integrated Solutions,Integrated Solutions,31982
02/22/2018,Power Systems,Aiken - Arresters,446474
02/22/2018,Power Systems,Aiken - Cable Acc,173826
02/22/2018,Power Systems,Aiken - Insulator,122302
02/22/2018,Power Systems,Civil & Construction,710951
02/22/2018,Power Systems,Connectors,714732
02/22/2018,Power Systems,EMC,131843
02/22/2018,Power Systems,Enclosures,556329
02/22/2018,Power Systems,HPS Brazil,369432
02/22/2018,Power Systems,Switching Fusing,658960
02/22/2018,Power Systems,Tools and Equipment,369698
02/22/2018,Power Systems,Total Bushings,301274
02/22/2018,Power Systems,Utility Automation,262427
02/22/2018,Power Systems - Aclara,AMI,614844
02/22/2018,Power Systems - Aclara,Meters,85309
02/23/2018,Commercial & Industrial,ACME,107112
02/23/2018,Commercial & Industrial,Gleason Reel,159266
02/23/2018,Commercial & Industrial,Haefely,14476
02/23/2018,Commercial & Industrial,Hipotronics,81876
02/23/2018,Commercial & Industrial,Industrial Controls,241689
02/23/2018,Commercial & Industrial,Raco/TayMac,478952
02/23/2018,Commercial & Industrial,WBP,1486080
02/23/2018,Commercial & Industrial,Wiegmann,179350
02/23/2018,Construction & Energy,Austdac,34532
02/23/2018,Construction & Energy,Burndy - US,777301
02/23/2018,Construction & Energy,CMC,347037
02/23/2018,Construction & Energy,Continental Industries,94000
02/23/2018,Construction & Energy,GAI-Tronics - UK,18346
02/23/2018,Construction & Energy,GAI-Tronics - US,118592
02/23/2018,Construction & Energy,Hawke - UK,158421
02/23/2018,Construction & Energy,Hubbell Canada,278062
02/23/2018,Construction & Energy,Hubbell Products Mexico,72396
02/23/2018,Construction & Energy,Hubbell Scotland,28760
02/23/2018,Construction & Energy,Killark,377185
02/23/2018,Construction & Energy,Lyall,324000
02/23/2018,Hubbell Lighting,C & I,2656804
02/23/2018,Hubbell Lighting,Residential,899917
02/23/2018,Integrated Solutions,Integrated Solutions,74918
02/23/2018,Power Systems,Aiken - Arresters,293643
02/23/2018,Power Systems,Aiken - Cable Acc,48694
02/23/2018,Power Systems,Aiken - Insulator,2181204
02/23/2018,Power Systems,Civil & Construction,561481
02/23/2018,Power Systems,Connectors,526715
02/23/2018,Power Systems,EMC,60761
02/23/2018,Power Systems,Enclosures,846404
02/23/2018,Power Systems,HPS Brazil,402000
02/23/2018,Power Systems,HPS China,4441
02/23/2018,Power Systems,Switching Fusing,446481
02/23/2018,Power Systems,Tools and Equipment,211169
02/23/2018,Power Systems,Total Bushings,164793
02/23/2018,Power Systems,Utility Automation,67490
02/23/2018,Power Systems - Aclara,AMI,498745
02/23/2018,Power Systems - Aclara,Meters,275168
02/26/2018,Commercial & Industrial,ACME,180076
02/26/2018,Commercial & Industrial,Gleason Reel,73012
02/26/2018,Commercial & Industrial,Haefely,7303
02/26/2018,Commercial & Industrial,Hipotronics,500
02/26/2018,Commercial & Industrial,Industrial Controls,358215
02/26/2018,Commercial & Industrial,Raco/TayMac,1812643
02/26/2018,Commercial & Industrial,WBP,1618441
02/26/2018,Commercial & Industrial,Wiegmann,196049
02/26/2018,Construction & Energy,Austdac,112031
02/26/2018,Construction & Energy,Burndy - US,743264
02/26/2018,Construction & Energy,CMC,269356
02/26/2018,Construction & Energy,Continental Industries,140000
02/26/2018,Construction & Energy,GAI-Tronics - UK,83273
02/26/2018,Construction & Energy,GAI-Tronics - US,93933
02/26/2018,Construction & Energy,Hawke - UK,491380
02/26/2018,Construction & Energy,Hubbell Canada,476619
02/26/2018,Construction & Energy,Hubbell Products Mexico,94106
02/26/2018,Construction & Energy,Hubbell Scotland,130116
02/26/2018,Construction & Energy,Killark,408978
02/26/2018,Construction & Energy,Lyall,208000
02/26/2018,Hubbell Lighting,C & I,2673783
02/26/2018,Hubbell Lighting,Residential,1338436
02/26/2018,Integrated Solutions,Integrated Solutions,200
02/26/2018,Power Systems,Aiken - Arresters,-373546
02/26/2018,Power Systems,Aiken - Cable Acc,55068
02/26/2018,Power Systems,Aiken - Insulator,129770
02/26/2018,Power Systems,Civil & Construction,905910
02/26/2018,Power Systems,Connectors,957770
02/26/2018,Power Systems,EMC,87513
02/26/2018,Power Systems,Enclosures,668953
02/26/2018,Power Systems,HPS Brazil,37000
02/26/2018,Power Systems,HPS China,253784
02/26/2018,Power Systems,Switching Fusing,512003
02/26/2018,Power Systems,Tools and Equipment,241845
02/26/2018,Power Systems,Total Bushings,184555
02/26/2018,Power Systems,Utility Automation,83178
02/26/2018,Power Systems - Aclara,AMI,73215
02/26/2018,Power Systems - Aclara,Meters,1223619
02/27/2018,Commercial & Industrial,ACME,161490
02/27/2018,Commercial & Industrial,Gleason Reel,130372
02/27/2018,Commercial & Industrial,Haefely,14734
02/27/2018,Commercial & Industrial,Hipotronics,263090
02/27/2018,Commercial & Industrial,Industrial Controls,223283
02/27/2018,Commercial & Industrial,Raco/TayMac,598119
02/27/2018,Commercial & Industrial,WBP,1972481
02/27/2018,Commercial & Industrial,Wiegmann,193391
02/27/2018,Construction & Energy,Austdac,181850
02/27/2018,Construction & Energy,Burndy - US,748967
02/27/2018,Construction & Energy,CMC,377650
02/27/2018,Construction & Energy,Continental Industries,504000
02/27/2018,Construction & Energy,GAI-Tronics - UK,131761
02/27/2018,Construction & Energy,GAI-Tronics - US,129737
02/27/2018,Construction & Energy,Hawke - UK,245740
02/27/2018,Construction & Energy,Hubbell Canada,462463
02/27/2018,Construction & Energy,Hubbell Products Mexico,348575
02/27/2018,Construction & Energy,Hubbell Scotland,399388
02/27/2018,Construction & Energy,Killark,418770
02/27/2018,Construction & Energy,Lyall,96700
02/27/2018,Hubbell Lighting,C & I,2447909
02/27/2018,Hubbell Lighting,Residential,1132592
02/27/2018,Integrated Solutions,Integrated Solutions,2641
02/27/2018,Power Systems,Aiken - Arresters,992365
02/27/2018,Power Systems,Aiken - Cable Acc,137094
02/27/2018,Power Systems,Aiken - Insulator,220148
02/27/2018,Power Systems,Civil & Construction,909657
02/27/2018,Power Systems,Connectors,883556
02/27/2018,Power Systems,EMC,90732
02/27/2018,Power Systems,Enclosures,459775
02/27/2018,Power Systems,HPS Brazil,77000
02/27/2018,Power Systems,HPS China,8102
02/27/2018,Power Systems,Switching Fusing,846940
02/27/2018,Power Systems,Tools and Equipment,240743
02/27/2018,Power Systems,Total Bushings,126200
02/27/2018,Power Systems,Utility Automation,84557
02/27/2018,Power Systems - Aclara,AMI,140614
02/27/2018,Power Systems - Aclara,Meters,102866
02/28/2018,Commercial & Industrial,ACME,186922
02/28/2018,Commercial & Industrial,Gleason Reel,96272
02/28/2018,Commercial & Industrial,Haefely,54108
02/28/2018,Commercial & Industrial,Hipotronics,199866
02/28/2018,Commercial & Industrial,Industrial Controls,525774
02/28/2018,Commercial & Industrial,Raco/TayMac,826430
02/28/2018,Commercial & Industrial,WBP,1766363
02/28/2018,Commercial & Industrial,Wiegmann,252813
02/28/2018,Construction & Energy,Austdac,44026
02/28/2018,Construction & Energy,Burndy - US,1673543
02/28/2018,Construction & Energy,CMC,303934
02/28/2018,Construction & Energy,Continental Industries,237000
02/28/2018,Construction & Energy,GAI-Tronics - UK,53971
02/28/2018,Construction & Energy,GAI-Tronics - US,256158
02/28/2018,Construction & Energy,Hawke - UK,256619
02/28/2018,Construction & Energy,Hubbell Canada,898168
02/28/2018,Construction & Energy,Hubbell Products Mexico,570928
02/28/2018,Construction & Energy,Killark,240775
02/28/2018,Construction & Energy,Lyall,212200
02/28/2018,Hubbell Lighting,C & I,3607731
02/28/2018,Hubbell Lighting,Residential,619929
02/28/2018,Integrated Solutions,Integrated Solutions,65678
02/28/2018,Power Systems,Aiken - Arresters,300573
02/28/2018,Power Systems,Aiken - Cable Acc,134867
02/28/2018,Power Systems,Aiken - Insulator,321248
02/28/2018,Power Systems,Civil & Construction,869165
02/28/2018,Power Systems,Connectors,684480
02/28/2018,Power Systems,EMC,239588
02/28/2018,Power Systems,Enclosures,481964
02/28/2018,Power Systems,HPS Brazil,46000
02/28/2018,Power Systems,HPS China,14164
02/28/2018,Power Systems,Switching Fusing,-676209
02/28/2018,Power Systems,Tools and Equipment,235388
02/28/2018,Power Systems,Total Bushings,199300
02/28/2018,Power Systems,Utility Automation,315144
02/28/2018,Power Systems - Aclara,AMI,1512177
02/28/2018,Power Systems - Aclara,Meters,433109
03/01/2018,Commercial & Industrial,ACME,145382
03/01/2018,Commercial & Industrial,Gleason Reel,90160
03/01/2018,Commercial & Industrial,Haefely,258755
03/01/2018,Commercial & Industrial,Hipotronics,75129
03/01/2018,Commercial & Industrial,Industrial Controls,203133
03/01/2018,Commercial & Industrial,Raco/TayMac,626005
03/01/2018,Commercial & Industrial,WBP,1465131
03/01/2018,Commercial & Industrial,Wiegmann,266242
03/01/2018,Construction & Energy,Austdac,141801
03/01/2018,Construction & Energy,Burndy - US,1040661
03/01/2018,Construction & Energy,CMC,53750
03/01/2018,Construction & Energy,Continental Industries,311600
03/01/2018,Construction & Energy,GAI-Tronics - UK,20586
03/01/2018,Construction & Energy,GAI-Tronics - US,196005
03/01/2018,Construction & Energy,Hawke - UK,77648
03/01/2018,Construction & Energy,Hubbell Canada,172151
03/01/2018,Construction & Energy,Hubbell Products Mexico,69825
03/01/2018,Construction & Energy,Hubbell Scotland,-943
03/01/2018,Construction & Energy,Killark,358950
03/01/2018,Construction & Energy,Lyall,1010700
03/01/2018,Hubbell Lighting,C & I,2544943
03/01/2018,Hubbell Lighting,Residential,805512
03/01/2018,Integrated Solutions,Integrated Solutions,14430
03/01/2018,Power Systems,Aiken - Arresters,337933
03/01/2018,Power Systems,Aiken - Cable Acc,49476
03/01/2018,Power Systems,Aiken - Insulator,131387
03/01/2018,Power Systems,Civil & Construction,667296
03/01/2018,Power Systems,Connectors,932299
03/01/2018,Power Systems,EMC,125027
03/01/2018,Power Systems,Enclosures,529830
03/01/2018,Power Systems,HPS Brazil,34000
03/01/2018,Power Systems,HPS China,4786
03/01/2018,Power Systems,Switching Fusing,1741376
03/01/2018,Power Systems,Tools and Equipment,154667
03/01/2018,Power Systems,Total Bushings,535512
03/01/2018,Power Systems,Utility Automation,202803
03/01/2018,Power Systems - Aclara,AMI,2650
03/01/2018,Power Systems - Aclara,Meters,344143
03/02/2018,Commercial & Industrial,ACME,137503
03/02/2018,Commercial & Industrial,Gleason Reel,140594
03/02/2018,Commercial & Industrial,Haefely,74636
03/02/2018,Commercial & Industrial,Hipotronics,57655
03/02/2018,Commercial & Industrial,Industrial Controls,326583
03/02/2018,Commercial & Industrial,Raco/TayMac,516166
03/02/2018,Commercial & Industrial,WBP,1488504
03/02/2018,Commercial & Industrial,Wiegmann,184631
03/02/2018,Construction & Energy,Austdac,319557
03/02/2018,Construction & Energy,Burndy - US,878486
03/02/2018,Construction & Energy,CMC,531793
03/02/2018,Construction & Energy,Continental Industries,378000
03/02/2018,Construction & Energy,GAI-Tronics - US,50820
03/02/2018,Construction & Energy,Hawke - UK,30640
03/02/2018,Construction & Energy,Hubbell Canada,469148
03/02/2018,Construction & Energy,Hubbell Products Mexico,76243
03/02/2018,Construction & Energy,Killark,297541
03/02/2018,Construction & Energy,Lyall,172600
03/02/2018,Hubbell Lighting,C & I,4192780
03/02/2018,Hubbell Lighting,Residential,764179
03/02/2018,Integrated Solutions,Integrated Solutions,3284
03/02/2018,Power Systems,Aiken - Arresters,507395
03/02/2018,Power Systems,Aiken - Cable Acc,138088
03/02/2018,Power Systems,Aiken - Insulator,664178
03/02/2018,Power Systems,Civil & Construction,1059296
03/02/2018,Power Systems,Connectors,705619
03/02/2018,Power Systems,EMC,70442
03/02/2018,Power Systems,Enclosures,687887
03/02/2018,Power Systems,HPS Brazil,138000
03/02/2018,Power Systems,HPS China,6597
03/02/2018,Power Systems,Switching Fusing,654243
03/02/2018,Power Systems,Tools and Equipment,256742
03/02/2018,Power Systems,Total Bushings,768391
03/02/2018,Power Systems,Utility Automation,228042
03/02/2018,Power Systems - Aclara,AMI,87034
03/02/2018,Power Systems - Aclara,Meters,78208
03/05/2018,Commercial & Industrial,ACME,180922
03/05/2018,Commercial & Industrial,Gleason Reel,168685
03/05/2018,Commercial & Industrial,Haefely,801
03/05/2018,Commercial & Industrial,Hipotronics,31311
03/05/2018,Commercial & Industrial,Industrial Controls,205953
03/05/2018,Commercial & Industrial,Raco/TayMac,1489510
03/05/2018,Commercial & Industrial,WBP,1357688
03/05/2018,Commercial & Industrial,Wiegmann,232159
03/05/2018,Construction & Energy,Austdac,57035
03/05/2018,Construction & Energy,Burndy - US,926337
03/05/2018,Construction & Energy,CMC,162481
03/05/2018,Construction & Energy,Continental Industries,130800
03/05/2018,Construction & Energy,GAI-Tronics - UK,80147
03/05/2018,Construction & Energy,GAI-Tronics - US,182879
03/05/2018,Construction & Energy,Hawke - UK,43172
03/05/2018,Construction & Energy,Hubbell Canada,465136
03/05/2018,Construction & Energy,Hubbell Products Mexico,-97762
03/05/2018,Construction & Energy,Hubbell Scotland,244953
03/05/2018,Construction & Energy,Killark,706557
03/05/2018,Construction & Energy,Lyall,299700
03/05/2018,Hubbell Lighting,C & I,2849930
03/05/2018,Hubbell Lighting,Residential,1144908
03/05/2018,Integrated Solutions,Integrated Solutions,13605
03/05/2018,Power Systems,Aiken - Arresters,144046
03/05/2018,Power Systems,Aiken - Cable Acc,25571
03/05/2018,Power Systems,Aiken - Insulator,161064
03/05/2018,Power Systems,Civil & Construction,554800
03/05/2018,Power Systems,Connectors,561528
03/05/2018,Power Systems,EMC,251022
03/05/2018,Power Systems,Enclosures,644009
03/05/2018,Power Systems,HPS Brazil,65000
03/05/2018,Power Systems,HPS China,52438
03/05/2018,Power Systems,Switching Fusing,460237
03/05/2018,Power Systems,Tools and Equipment,573698
03/05/2018,Power Systems,Total Bushings,191170
03/05/2018,Power Systems,Utility Automation,31902
03/05/2018,Power Systems - Aclara,AMI,-99163
03/05/2018,Power Systems - Aclara,Meters,213805
03/06/2018,Commercial & Industrial,ACME,117343
03/06/2018,Commercial & Industrial,Gleason Reel,52883
03/06/2018,Commercial & Industrial,Haefely,9461
03/06/2018,Commercial & Industrial,Hipotronics,129069
03/06/2018,Commercial & Industrial,Industrial Controls,288165
03/06/2018,Commercial & Industrial,Raco/TayMac,580801
03/06/2018,Commercial & Industrial,WBP,2191181
03/06/2018,Commercial & Industrial,Wiegmann,174260
03/06/2018,Construction & Energy,Austdac,30560
03/06/2018,Construction & Energy,Burndy - US,814012
03/06/2018,Construction & Energy,CMC,425655
03/06/2018,Construction & Energy,Continental Industries,714700
03/06/2018,Construction & Energy,GAI-Tronics - UK,63055
03/06/2018,Construction & Energy,GAI-Tronics - US,87966
03/06/2018,Construction & Energy,Hawke - UK,35427
03/06/2018,Construction & Energy,Hubbell Canada,456687
03/06/2018,Construction & Energy,Hubbell Products Mexico,-17523
03/06/2018,Construction & Energy,Hubbell Scotland,28200
03/06/2018,Construction & Energy,Killark,197654
03/06/2018,Construction & Energy,Lyall,148100
03/06/2018,Hubbell Lighting,C & I,2798610
03/06/2018,Hubbell Lighting,Residential,1114236
03/06/2018,Integrated Solutions,Integrated Solutions,1968
03/06/2018,Power Systems,Aiken - Arresters,249675
03/06/2018,Power Systems,Aiken - Cable Acc,152229
03/06/2018,Power Systems,Aiken - Insulator,171305
03/06/2018,Power Systems,Civil & Construction,1340747
03/06/2018,Power Systems,Connectors,1495054
03/06/2018,Power Systems,EMC,125822
03/06/2018,Power Systems,Enclosures,624691
03/06/2018,Power Systems,HPS Brazil,454000
03/06/2018,Power Systems,HPS China,1086
03/06/2018,Power Systems,Switching Fusing,567736
03/06/2018,Power Systems,Tools and Equipment,249929
03/06/2018,Power Systems,Total Bushings,561567
03/06/2018,Power Systems,Utility Automation,317322
03/06/2018,Power Systems - Aclara,AMI,81135
03/06/2018,Power Systems - Aclara,Meters,-974514
03/07/2018,Commercial & Industrial,ACME,162117
03/07/2018,Commercial & Industrial,Gleason Reel,119644
03/07/2018,Commercial & Industrial,Hipotronics,17906
03/07/2018,Commercial & Industrial,Industrial Controls,128953
03/07/2018,Commercial & Industrial,Raco/TayMac,931741
03/07/2018,Commercial & Industrial,WBP,1337468
03/07/2018,Commercial & Industrial,Wiegmann,174111
03/07/2018,Construction & Energy,Austdac,52438
03/07/2018,Construction & Energy,Burndy - US,1364326
03/07/2018,Construction & Energy,CMC,371181
03/07/2018,Construction & Energy,Continental Industries,256000
03/07/2018,Construction & Energy,GAI-Tronics - UK,55732
03/07/2018,Construction & Energy,GAI-Tronics - US,16701
03/07/2018,Construction & Energy,Gai-Tronics - Italy,-4590
03/07/2018,Construction & Energy,Hawke - UK,28697
03/07/2018,Construction & Energy,Hubbell Canada,468207
03/07/2018,Construction & Energy,Hubbell Products Mexico,156525
03/07/2018,Construction & Energy,Hubbell Scotland,318389
03/07/2018,Construction & Energy,Killark,374115
03/07/2018,Construction & Energy,Lyall,388700
03/07/2018,Hubbell Lighting,C & I,4308494
03/07/2018,Hubbell Lighting,Residential,969043
03/07/2018,Integrated Solutions,Integrated Solutions,4377
03/07/2018,Power Systems,Aiken - Arresters,417697
03/07/2018,Power Systems,Aiken - Cable Acc,123801
03/07/2018,Power Systems,Aiken - Insulator,189843
03/07/2018,Power Systems,Civil & Construction,838736
03/07/2018,Power Systems,Connectors,713409
03/07/2018,Power Systems,EMC,60853
03/07/2018,Power Systems,Enclosures,569764
03/07/2018,Power Systems,HPS Brazil,10000
03/07/2018,Power Systems,HPS China,6776
03/07/2018,Power Systems,Switching Fusing,559216
03/07/2018,Power Systems,Tools and Equipment,192864
03/07/2018,Power Systems,Total Bushings,547868
03/07/2018,Power Systems,Utility Automation,703228
03/07/2018,Power Systems - Aclara,AMI,130818
03/07/2018,Power Systems - Aclara,Meters,89569
03/08/2018,Commercial & Industrial,ACME,58809
03/08/2018,Commercial & Industrial,Gleason Reel,248528
03/08/2018,Commercial & Industrial,Hipotronics,12332
03/08/2018,Commercial & Industrial,Industrial Controls,-18652
03/08/2018,Commercial & Industrial,Raco/TayMac,520867
03/08/2018,Commercial & Industrial,WBP,1268579
03/08/2018,Commercial & Industrial,Wiegmann,298923
03/08/2018,Construction & Energy,Austdac,27222
03/08/2018,Construction & Energy,Burndy - US,932660
03/08/2018,Construction & Energy,CMC,250536
03/08/2018,Construction & Energy,Continental Industries,118300
03/08/2018,Construction & Energy,GAI-Tronics - UK,23144
03/08/2018,Construction & Energy,GAI-Tronics - US,175219
03/08/2018,Construction & Energy,Gai-Tronics - Italy,5652
03/08/2018,Construction & Energy,Hawke - UK,31187
03/08/2018,Construction & Energy,Hubbell Canada,410570
03/08/2018,Construction & Energy,Hubbell Products Mexico,103146
03/08/2018,Construction & Energy,Hubbell Scotland,153849
03/08/2018,Construction & Energy,Killark,442196
03/08/2018,Construction & Energy,Lyall,184000
03/08/2018,Hubbell Lighting,C & I,2383938
03/08/2018,Hubbell Lighting,Residential,859021
03/08/2018,Integrated Solutions,Integrated Solutions,19671
03/08/2018,Power Systems,Aiken - Arresters,402211
03/08/2018,Power Systems,Aiken - Cable Acc,87598
03/08/2018,Power Systems,Aiken - Insulator,167427
03/08/2018,Power Systems,Civil & Construction,1006948
03/08/2018,Power Systems,Connectors,964535
03/08/2018,Power Systems,EMC,102063
03/08/2018,Power Systems,Enclosures,572615
03/08/2018,Power Systems,HPS Brazil,546196
03/08/2018,Power Systems,HPS China,30137
03/08/2018,Power Systems,Switching Fusing,818036
03/08/2018,Power Systems,Tools and Equipment,218133
03/08/2018,Power Systems,Total Bushings,321667
03/08/2018,Power Systems,Utility Automation,323557
03/08/2018,Power Systems - Aclara,AMI,172701
03/08/2018,Power Systems - Aclara,Meters,3066175
03/09/2018,Commercial & Industrial,ACME,104829
