Work Day,Group,Division,Actual $
01/05/2018,Commercial & Industrial,Raco/TayMac,330305
01/05/2018,Commercial & Industrial,WBP,800954
01/05/2018,Commercial & Industrial,Wiegmann,198363
01/05/2018,Construction & Energy,Austdac,44010
01/05/2018,Construction & Energy,Burndy - US,1108826
01/05/2018,Construction & Energy,CMC,184773
01/05/2018,Construction & Energy,Continental Industries,251000
01/05/2018,Construction & Energy,GAI-Tronics - UK,16585
01/05/2018,Construction & Energy,GAI-Tronics - US,82347
01/05/2018,Construction & Energy,Hawke - UK,53982
01/05/2018,Construction & Energy,Hubbell Canada,622368
01/05/2018,Construction & Energy,Hubbell Products Mexico,91269
01/05/2018,Construction & Energy,Hubbell Scotland,25558
01/05/2018,Construction & Energy,Killark,257534
01/05/2018,Construction & Energy,Lyall,2000
01/05/2018,Hubbell Lighting,C & I,2461595
01/05/2018,Hubbell Lighting,Residential,591008
01/05/2018,Integrated Solutions,Integrated Solutions,13222
01/05/2018,Power Systems,Aiken - Arresters,421575
01/05/2018,Power Systems,Aiken - Cable Acc,256466
01/05/2018,Power Systems,Aiken - Insulator,211262
01/05/2018,Power Systems,Civil & Construction,470953
01/05/2018,Power Systems,Connectors,698760
01/05/2018,Power Systems,EMC,126753
01/05/2018,Power Systems,Enclosures,851112
01/05/2018,Power Systems,HPS Brazil,60000
01/05/2018,Power Systems,HPS China,35375
01/05/2018,Power Systems,Switching Fusing,541461
01/05/2018,Power Systems,Tools and Equipment,209028
01/05/2018,Power Systems,Total Bushings,280986
01/05/2018,Power Systems,Utility Automation,133155
01/08/2018,Commercial & Industrial,ACME,153799
01/08/2018,Commercial & Industrial,Gleason Reel,100163
01/08/2018,Commercial & Industrial,Haefely,421
01/08/2018,Commercial & Industrial,Hipotronics,43320
01/08/2018,Commercial & Industrial,Industrial Controls,205167
01/08/2018,Commercial & Industrial,Raco/TayMac,1106578
01/08/2018,Commercial & Industrial,WBP,1859239
01/08/2018,Commercial & Industrial,Wiegmann,196813
01/08/2018,Construction & Energy,Austdac,56286
01/08/2018,Construction & Energy,Burndy - US,462907
01/08/2018,Construction & Energy,CMC,290071
01/08/2018,Construction & Energy,Continental Industries,335000
01/08/2018,Construction & Energy,GAI-Tronics - UK,62387
01/08/2018,Construction & Energy,GAI-Tronics - US,652975
01/08/2018,Construction & Energy,Hawke - UK,100432
01/08/2018,Construction & Energy,Hubbell Canada,365293
01/08/2018,Construction & Energy,Hubbell Products Mexico,-12121
01/08/2018,Construction & Energy,Hubbell Scotland,79721
01/08/2018,Construction & Energy,Killark,144463
01/08/2018,Construction & Energy,Lyall,842000
01/08/2018,Hubbell Lighting,C & I,2280428
01/08/2018,Hubbell Lighting,Residential,742535
01/08/2018,Integrated Solutions,Integrated Solutions,472
01/08/2018,Power Systems,Aiken - Arresters,441088
01/08/2018,Power Systems,Aiken - Cable Acc,5819
01/08/2018,Power Systems,Aiken - Insulator,124371
01/08/2018,Power Systems,Civil & Construction,312334
01/08/2018,Power Systems,Connectors,316530
01/08/2018,Power Systems,EMC,110210
01/08/2018,Power Systems,Enclosures,549871
01/08/2018,Power Systems,HPS Brazil,209000
01/08/2018,Power Systems,HPS China,45490
01/08/2018,Power Systems,Switching Fusing,357590
01/08/2018,Power Systems,Tools and Equipment,105804
01/08/2018,Power Systems,Total Bushings,560728
01/08/2018,Power Systems,Utility Automation,61114
01/09/2018,Commercial & Industrial,ACME,109301
01/09/2018,Commercial & Industrial,Gleason Reel,92145
01/09/2018,Commercial & Industrial,Hipotronics,4381
01/09/2018,Commercial & Industrial,Industrial Controls,147831
