Calendar Day,Group,Profit Center Group,Gross Order $
06/24/2018,Hubbell Lighting,Litecontrol,829009.52
06/24/2018,Hubbell Lighting,Norlux,400834.46
06/24/2018,Hubbell Lighting,Outdoor,1330880.68
06/24/2018,Hubbell Lighting,Prescolite,1155579.91
06/24/2018,Hubbell Lighting,Progress Lighting,5448668.47
06/24/2018,Hubbell Lighting,Security Lighting,307425.24
06/24/2018,Hubbell Lighting,Thomas,352866.53
06/24/2018,Power Systems,Above Ground,159844.96
06/24/2018,Power Systems,Blocks,457.56
06/24/2018,Power Systems,Civil,874419.22
06/24/2018,Power Systems,Cutouts  Polymer,897240.48
06/24/2018,Power Systems,Cutouts  Porcelain,406575.98
06/24/2018,Power Systems,Dist Automation,449356.86
06/24/2018,Power Systems,Distribution Arresters,964998.68
06/24/2018,Power Systems,Distribution Connectors,1826707.48
06/24/2018,Power Systems,Distribution Insulators,222858.64
06/24/2018,Power Systems,Drain,56363.01
06/24/2018,Power Systems,Electro Composites,221153.04
06/24/2018,Power Systems,Fiber & Cable Accessories,437695.39
06/24/2018,Power Systems,Fiber Splice Products,35855.1
06/24/2018,Power Systems,Fiberglass Construction,274734.98
06/24/2018,Power Systems,Fuse Links,90881.68
06/24/2018,Power Systems,Gloves,51730.41
06/24/2018,Power Systems,HotBox,260226.17
06/24/2018,Power Systems,HPS Shanghai,43658.94
06/24/2018,Power Systems,Longbow,111739.6
06/24/2018,Power Systems,OVHD Switches,453724.68
06/24/2018,Power Systems,PCORE,722554
06/24/2018,Power Systems,PenCell,734986.05
06/24/2018,Power Systems,Pole Line Hardware,1433716.12
06/24/2018,Power Systems,Power Load,52213.86
06/24/2018,Power Systems,Resale,310199.02
06/24/2018,Power Systems,Reuel,65660.39
06/24/2018,Power Systems,Sub Automation,243837.5
06/24/2018,Power Systems,Substation Connectors,293173.23
06/24/2018,Power Systems,Substation HC Arresters,310006.61
06/24/2018,Power Systems,Substation SC Arresters,264474.32
06/24/2018,Power Systems,Substation Switches,478336.06
06/24/2018,Power Systems,Traditional Tools,908769.72
06/24/2018,Power Systems,Transmission Arresters,61769.14
06/24/2018,Power Systems,Transmission Connectors,1981558.85
06/24/2018,Power Systems,Transmission Insulators,1282281.51
06/24/2018,Power Systems,Turner Electric,257405.06
06/24/2018,Power Systems,Under Ground,2612743.3
06/24/2018,Power Systems,URD Accessories,432492.03
06/24/2018,Power Systems,URD Arresters,113694.67
06/24/2018,Power Systems,Utility Anchors,1364917.74
07/01/2018,Commercial & Industrial,ACME,851250.22
07/01/2018,Commercial & Industrial,Bryant Electric,305259.09
07/01/2018,Commercial & Industrial,Gleason Reel,863012.15
07/01/2018,Commercial & Industrial,Hipotronics,298620.3
07/01/2018,Commercial & Industrial,ICD,1443551.77
07/01/2018,Commercial & Industrial,Premise Wiring,2085092.19
07/01/2018,Commercial & Industrial,RACO,7088623.88
07/01/2018,Commercial & Industrial,WDK,9820700.24
07/01/2018,Commercial & Industrial,Wiegmann,1205337.36
07/01/2018,Construction & Energy,Burndy - MX,1203495.29
07/01/2018,Construction & Energy,Burndy - US,6801900.55
07/01/2018,Construction & Energy,CMC,1264395.8
07/01/2018,Construction & Energy,Continental Industries,1442302.03
07/01/2018,Construction & Energy,GAI-Tronics - US,1302512.12
07/01/2018,Construction & Energy,Gai-Tronics Italy,0
07/01/2018,Construction & Energy,GAI-Tronics UK,291420.24
07/01/2018,Construction & Energy,Hawke - UK,549412.22
07/01/2018,Construction & Energy,Hawke - US,133015.14
07/01/2018,Construction & Energy,Hubbell Canada,3067143.56
07/01/2018,Construction & Energy,Hubbell Scotland,847889.02
07/01/2018,Construction & Energy,Killark,1563051.75
07/01/2018,Construction & Energy,RigPower Connectors,53105.16
07/01/2018,Hubbell Lighting,AAL,765478.06
07/01/2018,Hubbell Lighting,Alera,115998.28
07/01/2018,Hubbell Lighting,Beacon,1593054.16
07/01/2018,Hubbell Lighting,Columbia,8912010.47
07/01/2018,Hubbell Lighting,Dual-Lite,1362321.2
07/01/2018,Hubbell Lighting,Hubbell Control Solutions,794291.87
07/01/2018,Hubbell Lighting,Industrial Lighting,363482.01
07/01/2018,Hubbell Lighting,Kim,831913.24
07/01/2018,Hubbell Lighting,Kurt Versen,92986.06
07/01/2018,Hubbell Lighting,Litecontrol,1000125.29
07/01/2018,Hubbell Lighting,Norlux,362125.61
07/01/2018,Hubbell Lighting,Outdoor,1180335.99
07/01/2018,Hubbell Lighting,Prescolite,1339459.64
07/01/2018,Hubbell Lighting,Progress Lighting,6490118.11
07/01/2018,Hubbell Lighting,Security Lighting,315278.56
07/01/2018,Hubbell Lighting,Thomas,231708.13
07/01/2018,Power Systems,Above Ground,144045.73
07/01/2018,Power Systems,Blocks,0
07/01/2018,Power Systems,Civil,806214.24
07/01/2018,Power Systems,Cutouts  Polymer,999761.37
07/01/2018,Power Systems,Cutouts  Porcelain,453886.17
07/01/2018,Power Systems,Dist Automation,648015.38
07/01/2018,Power Systems,Distribution Arresters,944487.4
07/01/2018,Power Systems,Distribution Connectors,2012017.49
07/01/2018,Power Systems,Distribution Insulators,242266.57
07/01/2018,Power Systems,Drain,114786.25
07/01/2018,Power Systems,Electro Composites,167094.95
07/01/2018,Power Systems,Fiber & Cable Accessories,200875.03
07/01/2018,Power Systems,Fiber Splice Products,12086.02
07/01/2018,Power Systems,Fiberglass Construction,318560.53
07/01/2018,Power Systems,Fuse Links,114368.17
07/01/2018,Power Systems,Gloves,270023.18
07/01/2018,Power Systems,HotBox,217426.07
07/01/2018,Power Systems,HPS Shanghai,94276.45
07/01/2018,Power Systems,Longbow,843310.02
07/01/2018,Power Systems,OVHD Switches,484445.42
07/01/2018,Power Systems,PCORE,1443857
07/01/2018,Power Systems,PenCell,531392.44
07/01/2018,Power Systems,Pole Line Hardware,1892909.05
07/01/2018,Power Systems,Power Load,183752.21
07/01/2018,Power Systems,Resale,1245674.9
07/01/2018,Power Systems,Reuel,67136.55
07/01/2018,Power Systems,Sub Automation,477547.63
07/01/2018,Power Systems,Substation Connectors,338643.47
07/01/2018,Power Systems,Substation HC Arresters,613682.51
07/01/2018,Power Systems,Substation SC Arresters,363441.72
07/01/2018,Power Systems,Substation Switches,579853.89
07/01/2018,Power Systems,Traditional Tools,1486592.79
07/01/2018,Power Systems,Transmission Arresters,159710.04
07/01/2018,Power Systems,Transmission Connectors,1243359.08
07/01/2018,Power Systems,Transmission Insulators,502627.73
07/01/2018,Power Systems,Turner Electric,144764.62
07/01/2018,Power Systems,Under Ground,2653072.39
07/01/2018,Power Systems,URD Accessories,345287.67
07/01/2018,Power Systems,URD Arresters,197487.92
07/01/2018,Power Systems,Utility Anchors,1235875
07/08/2018,Commercial & Industrial,ACME,684990.43
07/08/2018,Commercial & Industrial,Bryant Electric,165219.17
07/08/2018,Commercial & Industrial,Gleason Reel,213060.6
07/08/2018,Commercial & Industrial,Hipotronics,83006.32
07/08/2018,Commercial & Industrial,ICD,1026658.68
07/08/2018,Commercial & Industrial,Premise Wiring,942221.91
07/08/2018,Commercial & Industrial,RACO,4930596.07
07/08/2018,Commercial & Industrial,WDK,6494918.74
07/08/2018,Commercial & Industrial,Wiegmann,828368.79
07/08/2018,Construction & Energy,Burndy - MX,304631.29
07/08/2018,Construction & Energy,Burndy - US,4965370.77
07/08/2018,Construction & Energy,CMC,1252085.59
07/08/2018,Construction & Energy,Continental Industries,901843.14
07/08/2018,Construction & Energy,GAI-Tronics - US,601920.32
07/08/2018,Construction & Energy,Gai-Tronics Italy,0
07/08/2018,Construction & Energy,GAI-Tronics UK,327841.44
07/08/2018,Construction & Energy,Hawke - UK,458341.2
07/08/2018,Construction & Energy,Hawke - US,58154.58
07/08/2018,Construction & Energy,Hubbell Canada,2040905.26
07/08/2018,Construction & Energy,Hubbell Scotland,649655.08
07/08/2018,Construction & Energy,Killark,1148176.53
07/08/2018,Construction & Energy,RigPower Connectors,27271.89
07/08/2018,Hubbell Lighting,AAL,423952.22
07/08/2018,Hubbell Lighting,Alera,65623.16
07/08/2018,Hubbell Lighting,Beacon,836111.66
07/08/2018,Hubbell Lighting,Columbia,4935825.36
07/08/2018,Hubbell Lighting,Dual-Lite,780079.05
07/08/2018,Hubbell Lighting,Hubbell Control Solutions,846322.12
07/08/2018,Hubbell Lighting,Industrial Lighting,566389.04
07/08/2018,Hubbell Lighting,Kim,615886.76
07/08/2018,Hubbell Lighting,Kurt Versen,27383.86
07/08/2018,Hubbell Lighting,Litecontrol,1253012.2
07/08/2018,Hubbell Lighting,Norlux,103234.19
07/08/2018,Hubbell Lighting,Outdoor,1149324.47
07/08/2018,Hubbell Lighting,Prescolite,1023480.26
07/08/2018,Hubbell Lighting,Progress Lighting,5470762.69
07/08/2018,Hubbell Lighting,Security Lighting,222566.06
07/08/2018,Hubbell Lighting,Thomas,269874.42
07/08/2018,Power Systems,Above Ground,112304.91
07/08/2018,Power Systems,Blocks,7740
07/08/2018,Power Systems,Civil,416102.8
07/08/2018,Power Systems,Cutouts  Polymer,1141014.39
07/08/2018,Power Systems,Cutouts  Porcelain,541765.37
07/08/2018,Power Systems,Dist Automation,222040.01
07/08/2018,Power Systems,Distribution Arresters,771900.69
07/08/2018,Power Systems,Distribution Connectors,1880436.5
07/08/2018,Power Systems,Distribution Insulators,173331.14
07/08/2018,Power Systems,Drain,98814.69
07/08/2018,Power Systems,Electro Composites,99044.94
07/08/2018,Power Systems,Fiber & Cable Accessories,98325.43
07/08/2018,Power Systems,Fiber Splice Products,28365.73
07/08/2018,Power Systems,Fiberglass Construction,249355.83
07/08/2018,Power Systems,Fuse Links,99082.35
07/08/2018,Power Systems,Gloves,37417.62
07/08/2018,Power Systems,HotBox,171332.82
07/08/2018,Power Systems,HPS Shanghai,35951.07
07/08/2018,Power Systems,Longbow,234811.28
07/08/2018,Power Systems,OVHD Switches,386500.31
07/08/2018,Power Systems,PCORE,477827
07/08/2018,Power Systems,PenCell,468780.22
07/08/2018,Power Systems,Pole Line Hardware,1433809.1
07/08/2018,Power Systems,Power Load,16165.95
07/08/2018,Power Systems,Resale,138117.99
07/08/2018,Power Systems,Reuel,46279.07
07/08/2018,Power Systems,Sub Automation,339874.34
07/08/2018,Power Systems,Substation Connectors,333470.27
07/08/2018,Power Systems,Substation HC Arresters,116149.91
07/08/2018,Power Systems,Substation SC Arresters,109386.6
07/08/2018,Power Systems,Substation Switches,357341.7
07/08/2018,Power Systems,Traditional Tools,570723.54
07/08/2018,Power Systems,Transmission Arresters,173462.91
07/08/2018,Power Systems,Transmission Connectors,740973.48
07/08/2018,Power Systems,Transmission Insulators,732632.77
07/08/2018,Power Systems,Turner Electric,201071.5
07/08/2018,Power Systems,Under Ground,1755115.05
07/08/2018,Power Systems,URD Accessories,377716.44
07/08/2018,Power Systems,URD Arresters,102358.09
07/08/2018,Power Systems,Utility Anchors,907747.37
07/15/2018,Commercial & Industrial,ACME,2383400.28
07/15/2018,Commercial & Industrial,Bryant Electric,363696.69
07/15/2018,Commercial & Industrial,Gleason Reel,711476.58
07/15/2018,Commercial & Industrial,Hipotronics,81516.26
07/15/2018,Commercial & Industrial,ICD,1339233.46
07/15/2018,Commercial & Industrial,Premise Wiring,1582090.43
07/15/2018,Commercial & Industrial,RACO,4959966.61
07/15/2018,Commercial & Industrial,WDK,8863758.35
07/15/2018,Commercial & Industrial,Wiegmann,1125576.49
07/15/2018,Construction & Energy,Burndy - MX,366243.96
07/15/2018,Construction & Energy,Burndy - US,5839227.33
07/15/2018,Construction & Energy,CMC,1720343.74
07/15/2018,Construction & Energy,Continental Industries,1344586.36
07/15/2018,Construction & Energy,GAI-Tronics - US,963602.25
07/15/2018,Construction & Energy,Gai-Tronics Italy,0
07/15/2018,Construction & Energy,GAI-Tronics UK,216596.64
07/15/2018,Construction & Energy,Hawke - UK,339485.06
07/15/2018,Construction & Energy,Hawke - US,106979.42
07/15/2018,Construction & Energy,Hubbell Canada,3561803.67
07/15/2018,Construction & Energy,Hubbell Scotland,499770.97
07/15/2018,Construction & Energy,Killark,2114357.78
07/15/2018,Construction & Energy,RigPower Connectors,24785.41
07/15/2018,Hubbell Lighting,AAL,389177.43
07/15/2018,Hubbell Lighting,Alera,111816.57
07/15/2018,Hubbell Lighting,Beacon,1631929.98
07/15/2018,Hubbell Lighting,Columbia,3157748.98
07/15/2018,Hubbell Lighting,Dual-Lite,1463047.59
07/15/2018,Hubbell Lighting,Hubbell Control Solutions,507429.33
07/15/2018,Hubbell Lighting,Industrial Lighting,276667.83
07/15/2018,Hubbell Lighting,Kim,715339.57
07/15/2018,Hubbell Lighting,Kurt Versen,79188.09
07/15/2018,Hubbell Lighting,Litecontrol,563404.69
07/15/2018,Hubbell Lighting,Norlux,250544.33
07/15/2018,Hubbell Lighting,Outdoor,1378547.9
07/15/2018,Hubbell Lighting,Prescolite,1304058.77
07/15/2018,Hubbell Lighting,Progress Lighting,5479200.42
07/15/2018,Hubbell Lighting,Security Lighting,380142.29
07/15/2018,Hubbell Lighting,Thomas,299688.31
07/15/2018,Power Systems,Above Ground,251295.21
07/15/2018,Power Systems,Blocks,0
07/15/2018,Power Systems,Civil,1038707.46
07/15/2018,Power Systems,Cutouts  Polymer,1149406
07/15/2018,Power Systems,Cutouts  Porcelain,359928.1
07/15/2018,Power Systems,Dist Automation,590042.82
07/15/2018,Power Systems,Distribution Arresters,1109235.08
07/15/2018,Power Systems,Distribution Connectors,1703460.76
07/15/2018,Power Systems,Distribution Insulators,211914.22
07/15/2018,Power Systems,Drain,13774.66
07/15/2018,Power Systems,Electro Composites,31320.24
07/15/2018,Power Systems,Fiber & Cable Accessories,103639.41
07/15/2018,Power Systems,Fiber Splice Products,71858.65
07/15/2018,Power Systems,Fiberglass Construction,362575.84
07/15/2018,Power Systems,Fuse Links,122976.83
07/15/2018,Power Systems,Gloves,20775.22
07/15/2018,Power Systems,HotBox,127977.64
07/15/2018,Power Systems,HPS Shanghai,19219.2
07/15/2018,Power Systems,Longbow,161207.22
07/15/2018,Power Systems,OVHD Switches,424790.76
07/15/2018,Power Systems,PCORE,964635
07/15/2018,Power Systems,PenCell,660279.73
07/15/2018,Power Systems,Pole Line Hardware,1571408.74
07/15/2018,Power Systems,Power Load,75764.24
07/15/2018,Power Systems,Resale,266684.76
07/15/2018,Power Systems,Reuel,131265.34
07/15/2018,Power Systems,Sub Automation,465534.35
07/15/2018,Power Systems,Substation Connectors,363393.45
07/15/2018,Power Systems,Substation HC Arresters,214054.25
07/15/2018,Power Systems,Substation SC Arresters,196946.3
07/15/2018,Power Systems,Substation Switches,483918.93
07/15/2018,Power Systems,Traditional Tools,576647.65
07/15/2018,Power Systems,Transmission Arresters,35342.68
07/15/2018,Power Systems,Transmission Connectors,919673.74
07/15/2018,Power Systems,Transmission Insulators,796024.9
07/15/2018,Power Systems,Turner Electric,366451.69
07/15/2018,Power Systems,Under Ground,2076481.65
07/15/2018,Power Systems,URD Accessories,774294.79
07/15/2018,Power Systems,URD Arresters,87243.9
07/15/2018,Power Systems,Utility Anchors,1656239.68
07/22/2018,Commercial & Industrial,ACME,1177069.3
07/22/2018,Commercial & Industrial,Bryant Electric,348965.95
07/22/2018,Commercial & Industrial,Gleason Reel,711737.45
07/22/2018,Commercial & Industrial,Hipotronics,255112.8
07/22/2018,Commercial & Industrial,ICD,1570149.78
07/22/2018,Commercial & Industrial,Premise Wiring,1672915.28
07/22/2018,Commercial & Industrial,RACO,4708079.17
07/22/2018,Commercial & Industrial,WDK,7814331.8
07/22/2018,Commercial & Industrial,Wiegmann,926410.71
07/22/2018,Construction & Energy,Burndy - MX,695339.08
07/22/2018,Construction & Energy,Burndy - US,6148575.3
07/22/2018,Construction & Energy,CMC,1552891.53
07/22/2018,Construction & Energy,Continental Industries,1262377.19
07/22/2018,Construction & Energy,GAI-Tronics - US,780330.97
07/22/2018,Construction & Energy,Gai-Tronics Italy,0
07/22/2018,Construction & Energy,GAI-Tronics UK,407369.07
07/22/2018,Construction & Energy,Hawke - UK,229611.44
07/22/2018,Construction & Energy,Hawke - US,176215.14
07/22/2018,Construction & Energy,Hubbell Canada,3179804.74
07/22/2018,Construction & Energy,Hubbell Scotland,663869.03
07/22/2018,Construction & Energy,Killark,1408562.37
07/22/2018,Construction & Energy,RigPower Connectors,18840.29
07/22/2018,Hubbell Lighting,AAL,488999.16
07/22/2018,Hubbell Lighting,Alera,104607.77
07/22/2018,Hubbell Lighting,Beacon,1338406.82
07/22/2018,Hubbell Lighting,Columbia,3659299.08
07/22/2018,Hubbell Lighting,Dual-Lite,1225280.87
07/22/2018,Hubbell Lighting,Hubbell Control Solutions,987772.2
07/22/2018,Hubbell Lighting,Industrial Lighting,314732.95
07/22/2018,Hubbell Lighting,Kim,1129624.08
07/22/2018,Hubbell Lighting,Kurt Versen,69596.8
07/22/2018,Hubbell Lighting,Litecontrol,855826.38
07/22/2018,Hubbell Lighting,Norlux,244160.45
07/22/2018,Hubbell Lighting,Outdoor,1333499.71
07/22/2018,Hubbell Lighting,Prescolite,1062812.09
07/22/2018,Hubbell Lighting,Progress Lighting,5377482.97
07/22/2018,Hubbell Lighting,Security Lighting,254981.55
07/22/2018,Hubbell Lighting,Thomas,186681.61
07/22/2018,Power Systems,Above Ground,280863.44
07/22/2018,Power Systems,Blocks,7740
07/22/2018,Power Systems,Civil,1122609.31
07/22/2018,Power Systems,Cutouts  Polymer,921179.08
07/22/2018,Power Systems,Cutouts  Porcelain,427479.04
07/22/2018,Power Systems,Dist Automation,647128.95
07/22/2018,Power Systems,Distribution Arresters,740531.44
07/22/2018,Power Systems,Distribution Connectors,2175978.08
07/22/2018,Power Systems,Distribution Insulators,304661.3
07/22/2018,Power Systems,Drain,94911.56
07/22/2018,Power Systems,Electro Composites,105622.83
07/22/2018,Power Systems,Fiber & Cable Accessories,307663.16
07/22/2018,Power Systems,Fiber Splice Products,35886.39
07/22/2018,Power Systems,Fiberglass Construction,288469.89
07/22/2018,Power Systems,Fuse Links,118637.85
07/22/2018,Power Systems,Gloves,20259.32
07/22/2018,Power Systems,HotBox,297357.99
07/22/2018,Power Systems,HPS Shanghai,63877.79
07/22/2018,Power Systems,Longbow,480023.04
07/22/2018,Power Systems,OVHD Switches,518669.31
07/22/2018,Power Systems,PCORE,652269
07/22/2018,Power Systems,PenCell,552648.68
07/22/2018,Power Systems,Pole Line Hardware,1800269.15
07/22/2018,Power Systems,Power Load,85385.52
07/22/2018,Power Systems,Resale,266292.97
07/22/2018,Power Systems,Reuel,407879.38
07/22/2018,Power Systems,Sub Automation,586217.08
07/22/2018,Power Systems,Substation Connectors,433454.06
07/22/2018,Power Systems,Substation HC Arresters,700734.2
07/22/2018,Power Systems,Substation SC Arresters,232353.52
07/22/2018,Power Systems,Substation Switches,259660
07/22/2018,Power Systems,Traditional Tools,592810.59
07/22/2018,Power Systems,Transmission Arresters,57300.01
07/22/2018,Power Systems,Transmission Connectors,914384.35
07/22/2018,Power Systems,Transmission Insulators,1150072.24
07/22/2018,Power Systems,Turner Electric,506911.43
07/22/2018,Power Systems,Under Ground,4208245.71
07/22/2018,Power Systems,URD Accessories,361280.98
07/22/2018,Power Systems,URD Arresters,136807.23
07/22/2018,Power Systems,Utility Anchors,1331383.36
07/29/2018,Commercial & Industrial,ACME,1038768.62
07/29/2018,Commercial & Industrial,Bryant Electric,211567.08
07/29/2018,Commercial & Industrial,Gleason Reel,604267.98
07/29/2018,Commercial & Industrial,Hipotronics,102208.04
07/29/2018,Commercial & Industrial,ICD,1001809.17
07/29/2018,Commercial & Industrial,Premise Wiring,1365499.08
07/29/2018,Commercial & Industrial,RACO,4956652.26
07/29/2018,Commercial & Industrial,WDK,8830037.48
07/29/2018,Commercial & Industrial,Wiegmann,1037746.48
07/29/2018,Construction & Energy,Burndy - MX,460954.39
07/29/2018,Construction & Energy,Burndy - US,6227327.77
07/29/2018,Construction & Energy,CMC,847321.69
07/29/2018,Construction & Energy,Continental Industries,1443129.79
07/29/2018,Construction & Energy,GAI-Tronics - US,886247.39
07/29/2018,Construction & Energy,Gai-Tronics Italy,0
07/29/2018,Construction & Energy,GAI-Tronics UK,470047.43
07/29/2018,Construction & Energy,Hawke - UK,174827.65
07/29/2018,Construction & Energy,Hawke - US,148260.84
07/29/2018,Construction & Energy,Hubbell Canada,2341722.31
07/29/2018,Construction & Energy,Hubbell Scotland,547492.05
07/29/2018,Construction & Energy,Killark,1658607.43
07/29/2018,Construction & Energy,RigPower Connectors,44980.9
07/29/2018,Hubbell Lighting,AAL,374157.16
07/29/2018,Hubbell Lighting,Alera,130415.36
07/29/2018,Hubbell Lighting,Beacon,1641580.27
07/29/2018,Hubbell Lighting,Columbia,5526896.55
07/29/2018,Hubbell Lighting,Dual-Lite,1649984.44
07/29/2018,Hubbell Lighting,Hubbell Control Solutions,1090169.8
07/29/2018,Hubbell Lighting,Industrial Lighting,364089.76
07/29/2018,Hubbell Lighting,Kim,1280662.91
07/29/2018,Hubbell Lighting,Kurt Versen,101636.84
07/29/2018,Hubbell Lighting,Litecontrol,834004.2
07/29/2018,Hubbell Lighting,Norlux,187800.18
07/29/2018,Hubbell Lighting,Outdoor,1774433.47
07/29/2018,Hubbell Lighting,Prescolite,1432964.81
07/29/2018,Hubbell Lighting,Progress Lighting,5423124.08
07/29/2018,Hubbell Lighting,Security Lighting,424280.61
07/29/2018,Hubbell Lighting,Thomas,196142.47
07/29/2018,Power Systems,Above Ground,177897.26
07/29/2018,Power Systems,Blocks,197973.36
07/29/2018,Power Systems,Civil,715632.82
07/29/2018,Power Systems,Cutouts  Polymer,1006795.75
07/29/2018,Power Systems,Cutouts  Porcelain,491737.34
07/29/2018,Power Systems,Dist Automation,565616.43
07/29/2018,Power Systems,Distribution Arresters,1067180.47
07/29/2018,Power Systems,Distribution Connectors,2065230.05
07/29/2018,Power Systems,Distribution Insulators,325535.59
07/29/2018,Power Systems,Drain,68876.67
07/29/2018,Power Systems,Electro Composites,119897.87
07/29/2018,Power Systems,Fiber & Cable Accessories,144136.51
07/29/2018,Power Systems,Fiber Splice Products,69248.86
07/29/2018,Power Systems,Fiberglass Construction,385912.64
07/29/2018,Power Systems,Fuse Links,164206.8
07/29/2018,Power Systems,Gloves,49513.83
07/29/2018,Power Systems,HotBox,127008.55
07/29/2018,Power Systems,HPS Shanghai,137989.95
07/29/2018,Power Systems,Longbow,65130.8
07/29/2018,Power Systems,OVHD Switches,465081.83
07/29/2018,Power Systems,PCORE,1062482
07/29/2018,Power Systems,PenCell,532103.37
07/29/2018,Power Systems,Pole Line Hardware,1622922.45
07/29/2018,Power Systems,Power Load,165904.76
07/29/2018,Power Systems,Resale,309163.56
07/29/2018,Power Systems,Reuel,68085.77
07/29/2018,Power Systems,Sub Automation,379608.68
07/29/2018,Power Systems,Substation Connectors,345261.99
07/29/2018,Power Systems,Substation HC Arresters,466596.18
07/29/2018,Power Systems,Substation SC Arresters,264003.08
07/29/2018,Power Systems,Substation Switches,453680.73
07/29/2018,Power Systems,Traditional Tools,603544.64
07/29/2018,Power Systems,Transmission Arresters,119949.16
07/29/2018,Power Systems,Transmission Connectors,670642.45
07/29/2018,Power Systems,Transmission Insulators,626342.24
07/29/2018,Power Systems,Turner Electric,150860.49
07/29/2018,Power Systems,Under Ground,2378207.06
07/29/2018,Power Systems,URD Accessories,604580.2
07/29/2018,Power Systems,URD Arresters,183348.69
07/29/2018,Power Systems,Utility Anchors,1072481.1
08/05/2018,Commercial & Industrial,ACME,1300146.82
08/05/2018,Commercial & Industrial,Bryant Electric,260038.06
08/05/2018,Commercial & Industrial,Gleason Reel,861764.23
08/05/2018,Commercial & Industrial,Hipotronics,288725.47
08/05/2018,Commercial & Industrial,ICD,1711158.92
08/05/2018,Commercial & Industrial,Premise Wiring,1488028.81
08/05/2018,Commercial & Industrial,RACO,5435863.03
08/05/2018,Commercial & Industrial,WDK,9194995.21
08/05/2018,Commercial & Industrial,Wiegmann,1081669.08
08/05/2018,Construction & Energy,Burndy - MX,1316211.42
08/05/2018,Construction & Energy,Burndy - US,6173267.24
08/05/2018,Construction & Energy,CMC,1704747.77
08/05/2018,Construction & Energy,Continental Industries,1635588.7
08/05/2018,Construction & Energy,GAI-Tronics - US,1191239.96
08/05/2018,Construction & Energy,Gai-Tronics Italy,0
08/05/2018,Construction & Energy,GAI-Tronics UK,280575.58
08/05/2018,Construction & Energy,Hawke - UK,275750.73
08/05/2018,Construction & Energy,Hawke - US,236929.22
08/05/2018,Construction & Energy,Hubbell Canada,2361998.23
08/05/2018,Construction & Energy,Hubbell Scotland,396704.11
08/05/2018,Construction & Energy,Killark,1632505.84
08/05/2018,Construction & Energy,RigPower Connectors,9316.25
08/05/2018,Hubbell Lighting,AAL,726313.7
08/05/2018,Hubbell Lighting,Alera,160210.43
08/05/2018,Hubbell Lighting,Beacon,1620439.22
08/05/2018,Hubbell Lighting,Columbia,3812733.95
08/05/2018,Hubbell Lighting,Dual-Lite,1390582.1
08/05/2018,Hubbell Lighting,Hubbell Control Solutions,769075.8
08/05/2018,Hubbell Lighting,Industrial Lighting,269485.91
08/05/2018,Hubbell Lighting,Kim,1209778.82
08/05/2018,Hubbell Lighting,Kurt Versen,21176
08/05/2018,Hubbell Lighting,Litecontrol,844631.35
08/05/2018,Hubbell Lighting,Norlux,368233.13
08/05/2018,Hubbell Lighting,Outdoor,1484035.71
08/05/2018,Hubbell Lighting,Prescolite,1251204.17
08/05/2018,Hubbell Lighting,Progress Lighting,5585360.68
08/05/2018,Hubbell Lighting,Security Lighting,593436.14
08/05/2018,Hubbell Lighting,Thomas,271453.07
08/05/2018,Power Systems,Above Ground,217112.86
08/05/2018,Power Systems,Blocks,915.12
08/05/2018,Power Systems,Civil,786669.89
08/05/2018,Power Systems,Cutouts  Polymer,929962.41
08/05/2018,Power Systems,Cutouts  Porcelain,286858.45
08/05/2018,Power Systems,Dist Automation,492066.87
08/05/2018,Power Systems,Distribution Arresters,1391606.54
08/05/2018,Power Systems,Distribution Connectors,1909478.14
08/05/2018,Power Systems,Distribution Insulators,335082.76
08/05/2018,Power Systems,Drain,64896.78
08/05/2018,Power Systems,Electro Composites,98881.99
08/05/2018,Power Systems,Fiber & Cable Accessories,154303.36
08/05/2018,Power Systems,Fiber Splice Products,3180.68
08/05/2018,Power Systems,Fiberglass Construction,347411.53
08/05/2018,Power Systems,Fuse Links,294398.16
08/05/2018,Power Systems,Gloves,42740.14
08/05/2018,Power Systems,HotBox,145263.82
08/05/2018,Power Systems,HPS Shanghai,103248.03
08/05/2018,Power Systems,Longbow,129387.43
08/05/2018,Power Systems,OVHD Switches,519730.95
08/05/2018,Power Systems,PCORE,513915
08/05/2018,Power Systems,PenCell,657253.47
08/05/2018,Power Systems,Pole Line Hardware,1801666.85
08/05/2018,Power Systems,Power Load,162870.29
08/05/2018,Power Systems,Resale,562580.49
08/05/2018,Power Systems,Reuel,175469.99
08/05/2018,Power Systems,Sub Automation,281355.1
08/05/2018,Power Systems,Substation Connectors,447415.13
08/05/2018,Power Systems,Substation HC Arresters,92107.73
08/05/2018,Power Systems,Substation SC Arresters,257331.6
08/05/2018,Power Systems,Substation Switches,615284.36
08/05/2018,Power Systems,Traditional Tools,885579.87
08/05/2018,Power Systems,Transmission Arresters,97729.93
08/05/2018,Power Systems,Transmission Connectors,2195706.4
08/05/2018,Power Systems,Transmission Insulators,1007719.03
08/05/2018,Power Systems,Turner Electric,137534.17
08/05/2018,Power Systems,Under Ground,3178031.94
08/05/2018,Power Systems,URD Accessories,348152.76
08/05/2018,Power Systems,URD Arresters,104546.23
08/05/2018,Power Systems,Utility Anchors,1304824.1
08/12/2018,Commercial & Industrial,ACME,1563919.36
08/12/2018,Commercial & Industrial,Bryant Electric,279421.22
08/12/2018,Commercial & Industrial,Gleason Reel,554767.99
