Calendar Day,Group,Company Code,Gross Order $
02/04/2018,Construction & Energy,C460,242038.02
02/04/2018,Hubbell Lighting,C520,6949455.89
02/04/2018,Construction & Energy,C794,851629.63
02/04/2018,Commercial & Industrial,C740,1251772.57
02/04/2018,Power Systems,C660,84280.28
02/04/2018,Power Systems,C650,1283351.16
02/04/2018,Commercial & Industrial,C300,9862051.33
02/04/2018,Commercial & Industrial,C710,223916.41
02/04/2018,Hubbell Lighting,C550,580104.80
02/04/2018,Commercial & Industrial,C715,787930.02
02/11/2018,Construction & Energy,C360,5668874.69
02/11/2018,Power Systems,C615,487056.09
02/11/2018,Construction & Energy,C794,233429.95
02/11/2018,Construction & Energy,C366,1424760.14
02/11/2018,Construction & Energy,C460,627885.36
02/11/2018,Power Systems,C640,4318231.45
02/11/2018,Construction & Energy,C362,926338.18
02/11/2018,Commercial & Industrial,C710,175741.05
02/11/2018,Construction & Energy,C792,-11800.00
02/11/2018,Construction & Energy,C720,1816271.12
02/11/2018,Hubbell Lighting,C510,22555600.58
02/11/2018,Hubbell Lighting,C550,677356.29
02/11/2018,Commercial & Industrial,C715,322989.38
02/11/2018,Commercial & Industrial,C300,8994274.63
02/11/2018,Power Systems,C625,7306.05
02/11/2018,Power Systems,C650,1391861.68
02/11/2018,Hubbell Lighting,C520,4700320.37
02/11/2018,Commercial & Industrial,C740,1254898.18
02/11/2018,Power Systems,C660,102928.45
02/11/2018,Commercial & Industrial,C750,697544.67
02/11/2018,Construction & Energy,C450,988524.12
02/11/2018,Power Systems,C610,15975673.86
02/11/2018,Commercial & Industrial,C400,6222746.57
02/11/2018,Construction & Energy,C351,2663955.50
02/11/2018,Construction & Energy,C400,1942302.18
02/18/2018,Power Systems,C625,23340.11
02/18/2018,Power Systems,C660,321052.97
02/18/2018,Power Systems,C615,0.00
02/18/2018,Construction & Energy,C792,0.00
02/18/2018,Construction & Energy,C366,1247581.49
02/18/2018,Construction & Energy,C400,1802061.92
02/18/2018,Construction & Energy,C450,503568.63
02/18/2018,Construction & Energy,C720,1078280.06
02/18/2018,Power Systems,C640,2743545.13
02/18/2018,Commercial & Industrial,C400,7083935.58
02/18/2018,Hubbell Lighting,C550,624852.45
02/18/2018,Commercial & Industrial,C715,104549.77
02/18/2018,Power Systems,C650,1026820.93
02/18/2018,Hubbell Lighting,C520,4680422.29
02/18/2018,Commercial & Industrial,C300,9520794.77
02/18/2018,Commercial & Industrial,C740,1367879.73
02/18/2018,Commercial & Industrial,C750,828527.83
02/18/2018,Power Systems,C610,16550438.78
02/18/2018,Commercial & Industrial,C710,689678.54
02/18/2018,Construction & Energy,C460,280840.45
02/18/2018,Construction & Energy,C794,617171.68
02/18/2018,Hubbell Lighting,C510,11433201.96
02/18/2018,Construction & Energy,C362,813115.92
02/18/2018,Construction & Energy,C360,5467376.51
02/18/2018,Construction & Energy,C351,2367183.79
02/25/2018,Construction & Energy,C400,1886031.11
02/25/2018,Construction & Energy,C362,691656.43
